NAME	CLL	Tcells	Bcells	NKcells	Monocytes.Macrophages
CD3E	0.0024330900243309	1.1134693877551	0.000681044267877412	0.02	0.376344086021505
TRBC1	0.0111922141119221	1.24081632653061	0.0138479001135074	0.0133333333333333	1.17204301075269
CD2	0.00421735604217356	1.07102040816327	0.0018161180476731	0.02	0.419354838709677
GIMAP7	0.00502838605028386	1.11836734693878	0.00113507377979569	0.413333333333333	1.05376344086022
RARRES3	0.0257907542579075	1.32244897959184	0.00590238365493757	1.01333333333333	1.24731182795699
CTSW	0.00632603406326034	1.07183673469388	0.0018161180476731	0.0133333333333333	1.86021505376344
AC092580.4	0.0024330900243309	0.898775510204082	0.000681044267877412	0.04	0.591397849462366
CD3G	0.0024330900243309	0.753469387755102	0.00113507377979569	0.0333333333333333	0.0967741935483871
ANXA1	0.00713706407137064	1.05551020408163	0.00522133938706016	2.16	0.849462365591398
MT2A	0.0603406326034063	1.71510204081633	0.0703745743473326	4.35333333333333	1.50537634408602
ID2	0.00454176804541768	0.866122448979592	0.00227014755959137	0.686666666666667	1.63440860215054
GZMM	0.00373073803730738	0.718367346938775	0.00158910329171396	0.00666666666666667	0.817204301075269
LYAR	0.035198702351987	0.915102040816327	0.039727582292849	0.0933333333333333	0.311827956989247
CLEC2B	0.0040551500405515	0.64	0.00227014755959137	0.506666666666667	0.67741935483871
GIMAP4	0.00356853203568532	0.608163265306122	0.00113507377979569	0.666666666666667	0.333333333333333
CD8A	0.00421735604217356	0.528979591836735	0.00158910329171396	0.0333333333333333	0.043010752688172
FGFBP2	0.00259529602595296	0.608979591836735	0.00204313280363224	0.02	2.08602150537634
GZMB	0.00746147607461476	0.710204081632653	0.00158910329171396	0.0666666666666667	4.58064516129032
C12orf75	0.00470397404703974	0.503673469387755	0.00136208853575482	0.0266666666666667	0.698924731182796
IL7R	0.00291970802919708	0.46530612244898	0.0018161180476731	0.0133333333333333	0.043010752688172
FYB	0.0040551500405515	0.606530612244898	0.00158910329171396	1.67333333333333	0.376344086021505
KLRG1	0.00437956204379562	0.398367346938776	0.00590238365493757	0	0.193548387096774
HOPX	0.00470397404703974	0.444897959183673	0.00272417707150965	0.0266666666666667	1.55913978494624
TRGC2	0.00097323600973236	0.371428571428571	0.00113507377979569	0	0.150537634408602
LAT	0.0056772100567721	0.376326530612245	0.00385925085130533	0.02	0.129032258064516
ITGB2	0.0118410381184104	0.483265306122449	0.0104426787741203	0.966666666666667	0.688172043010753
IFITM1	0.0124898621248986	0.41469387755102	0.0108967082860386	0.0533333333333333	0.645161290322581
AAK1	0.0173560421735604	0.422857142857143	0.0192962542565267	0.126666666666667	0.333333333333333
CMC1	0.0744525547445255	0.676734693877551	0.0581157775255392	0.1	1.72043010752688
ARL4C	0.0507704785077048	0.517551020408163	0.0404086265607264	0.113333333333333	0.655913978494624
CD7	0.00178426601784266	0.344489795918367	0.00158910329171396	0.0133333333333333	0.935483870967742
CCL4	0.0345498783454988	0.603265306122449	0.099205448354143	0.0933333333333333	1.97849462365591
KLRB1	0.00437956204379562	0.409795918367347	0.00204313280363224	0.02	3.02150537634409
PRF1	0.0097323600973236	0.364897959183673	0.00408626560726447	0.02	1.53763440860215
DUSP2	0.0256285482562855	0.486530612244898	0.0862656072644722	0.04	0.236559139784946
RGS2	0.0282238442822384	0.0857142857142857	1.52122587968218	0.913333333333333	0.268817204301075
RGS1	0.00535279805352798	0.158367346938776	0.914415437003405	0.0333333333333333	0.129032258064516
TSC22D3	0.357988645579886	0.507755102040816	3.23813847900113	0.453333333333333	0.56989247311828
CD69	0.230170316301703	0.38530612244898	2.06628830874007	0.0133333333333333	0.32258064516129
CXCR4	0.893430656934307	0.931428571428571	5.97048808172531	0.246666666666667	0.924731182795699
PMAIP1	0.320519059205191	0.16	1.91623155505108	0.14	0.258064516129032
JUN	0.105433901054339	0.142857142857143	0.853802497162316	0.173333333333333	0.0860215053763441
KLF6	0.257420924574209	0.477551020408163	1.6422247446084	2.12	0.344086021505376
BCL2	0.230494728304947	0.0971428571428571	0.993643586833144	0.0333333333333333	0.0860215053763441
JUND	0.179075425790754	0.182040816326531	0.918047673098751	0.473333333333333	0.354838709677419
RNU12	0.0287104622871046	0.0318367346938776	0.347105561861521	0.08	0.021505376344086
RHOB	0.0241686942416869	0.0122448979591837	0.31328036322361	0.166666666666667	0.021505376344086
YPEL5	0.177453365774534	0.213877551020408	0.832463110102157	0.373333333333333	0.21505376344086
KLF2	0.300729927007299	0.873469387755102	1.46742338251986	0.753333333333333	0.78494623655914
RGCC	0.127331711273317	0.118367346938776	0.587968217934166	0.04	0.10752688172043
DUSP1	0.0952149229521492	0.229387755102041	0.68671963677639	2.43333333333333	0.279569892473118
CD83	0.0832116788321168	0.0212244897959184	0.399318955732123	0.0866666666666667	0.0860215053763441
UBALD2	0.145823195458232	0.184489795918367	0.590238365493757	0.173333333333333	0.139784946236559
CNOT1	0.0741281427412814	0.117551020408163	0.395005675368899	0.16	0.21505376344086
SBDS	0.12360097323601	0.17469387755102	0.51305334846765	0.1	0.139784946236559
WDR74	0.195944849959448	0.116734693877551	0.634960272417707	0.36	0.182795698924731
TAGAP	0.122303325223033	0.125714285714286	0.458115777525539	0.06	0.21505376344086
PPP1R15A	0.0822384428223844	0.0742857142857143	0.361634506242906	0.313333333333333	0.0645161290322581
ETV5	0.00908353609083536	0.00326530612244898	0.157321225879682	0.00666666666666667	0.010752688172043
MED30	0.126845093268451	0.119183673469388	0.424971623155505	0.18	0.172043010752688
CTLA4	0.0210867802108678	0.0187755102040816	0.17639046538025	0	0.010752688172043
RAB11FIP1	0.0731549067315491	0.0351020408163265	0.289216799091941	0.273333333333333	0.0860215053763441
SNHG9	0.266342254663423	0.208979591836735	0.706015891032917	0.253333333333333	0.204301075268817
IQGAP1	0.128953771289538	0.217142857142857	0.494211123723042	0.993333333333333	0.376344086021505
DDIT3	0.0689375506893755	0.0391836734693878	0.264245175936436	0.02	0.021505376344086
EIF1	3.92587185725872	5.11918367346939	9.53189557321226	9.76	5.64516129032258
PDE4B	0.12522303325223	0.0587755102040816	0.366628830874007	0.0333333333333333	0.0752688172043011
CIRBP	1.15912408759124	1.00897959183673	2.55051078320091	1.04666666666667	1.13978494623656
CYCS	0.250608272506083	0.380408163265306	0.707377979568672	0.366666666666667	0.494623655913978
DUSP10	0.00502838605028386	0.0171428571428571	0.128490351872872	0.0266666666666667	0.010752688172043
MAP1LC3B	0.273479318734793	0.251428571428571	0.682179341657208	0.44	0.387096774193548
RP11-386I14.4	0.489213300892133	0.133877551020408	1.01021566401816	1.20666666666667	0.247311827956989
BBC3	0.0418491484184915	0.036734693877551	0.186379114642452	0.0733333333333333	0.0860215053763441
TRA2B	0.51970802919708	0.427755102040816	1.10760499432463	0.493333333333333	0.655913978494624
YBX3	0.750689375506894	0.18530612244898	1.38728717366629	0.566666666666667	0.247311827956989
ARL4A	0.0437956204379562	0.0514285714285714	0.188649262202043	0.113333333333333	0.021505376344086
PCIF1	0.059367396593674	0.0742857142857143	0.219069239500568	0.1	0.0967741935483871
PEBP1	1.17031630170316	0.402448979591837	2.06038592508513	0.166666666666667	0.56989247311828
RP11-77H9.8	0.029683698296837	0.0073469387755102	0.141203178206583	0	0.021505376344086
MRPL54	0.24963503649635	0.303673469387755	0.595005675368899	0.433333333333333	0.279569892473118
S100A9	0.0423357664233577	0.0881632653061225	0.000681044267877412	48.5133333333333	0.0967741935483871
LYZ	0.0304947283049473	0.0538775510204082	0.00204313280363224	39.0933333333333	0.0752688172043011
S100A8	0.0478507704785077	0.0987755102040816	0.000681044267877412	41.5066666666667	0.118279569892473
CST3	0.0072992700729927	0.0220408163265306	0.000908059023836549	9.9	0.0537634408602151
TYROBP	0.0556366585563666	0.0873469387755102	0.0267877412031782	14.5066666666667	3.16129032258065
FCER1G	0.0202757502027575	0.0163265306122449	0.0138479001135074	8.14666666666667	1.7741935483871
LST1	0.0496350364963504	0.0612244897959184	0.0304199772985244	8.56	0.010752688172043
FCN1	0.00454176804541768	0.00326530612244898	0.000227014755959137	5.39333333333333	0.032258064516129
S100A12	0.00421735604217356	0.00897959183673469	0	4.79333333333333	0.010752688172043
AIF1	0.13073803730738	0.0359183673469388	0.0740068104426788	8.40666666666667	0.0537634408602151
CSTA	0.00291970802919708	0.00408163265306122	0	4.02	0
FOS	0.0173560421735604	0.0530612244897959	0.0522133938706016	4.28	0.0752688172043011
LGALS2	0.0024330900243309	0.00244897959183673	0	3.02	0
IFITM3	0.00827250608272506	0.0718367346938776	0.00749148694665153	3.33333333333333	0.494623655913978
FGL2	0.00470397404703974	0.0122448979591837	0.00136208853575482	2.84666666666667	0.0537634408602151
