"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","14/252","87/5972",0.160919540229885,3.81353767560664,5.54836367045485,1.35214068767996e-05,0.000217137886903899,0.000163261569100676,"1278/5054/4846/6772/581/7046/6347/2335/7040/1958/1277/596/183/6774",14
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","23/252","206/5972",0.111650485436893,2.64593928186161,5.04586809017917,1.56187840223504e-05,0.000236884891005648,0.000178108940605751,"7157/8829/1147/2113/581/7046/2353/920/5925/896/890/7040/1958/3718/3560/3932/1869/915/6722/2114/3689/8900/894",23
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","20/252","172/5972",0.116279069767442,2.75562938353636,4.90353025398761,3.17172284044116e-05,0.000434819342300888,0.000326931836316457,"7157/1278/356/5328/2064/4318/7430/2335/5747/6714/7057/960/7040/4233/1277/3690/355/3685/6774/3678",20
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","9/252","40/5972",0.225,5.33214285714286,5.76976314939136,3.18548968718599e-05,0.000434819342300888,0.000326931836316457,"3586/6347/975/7057/7040/4233/1378/5175/3689",9
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","14/252","96/5972",0.145833333333333,3.45601851851852,5.09157507303878,4.25574238095521e-05,0.000553246509524177,0.00041597481919111,"1147/6772/7046/2353/920/50943/7040/196/3718/3560/3932/915/861/6774",14
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","12/252","73/5972",0.164383561643836,3.89562948467058,5.22445525174903,4.53676516692724e-05,0.000562971313895971,0.000423286702177422,"7157/2064/1147/6772/5888/581/7046/1021/5925/7040/1869/6774",12
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","13/252","94/5972",0.138297872340426,3.2774400540358,4.67112922417667,0.000139741308204923,0.00165816862409545,0.00124674332638756,"142/1457/1459/5328/1147/5743/330/4050/4067/1460/3932/8740/596",13
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","12/252","82/5972",0.146341463414634,3.46806039488966,4.72314037516441,0.000145773065854545,0.00165816862409545,0.00124674332638756,"7157/5328/5154/2064/1147/4318/80310/6935/4824/5925/596/1869",12
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","15/252","122/5972",0.122950819672131,2.91373926619828,4.48239930084238,0.000168855445164549,0.00184390146119688,0.00138639207608788,"7157/356/1147/6772/581/1021/5515/5925/5519/975/1869/841/355/9021/6774",15
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","19/252","180/5972",0.105555555555556,2.50149911816578,4.29311823149669,0.000186393484082273,0.00195713158286387,0.00147152750591268,"356/5196/4352/2057/3586/7046/920/6347/3575/2688/4050/7040/1441/3560/8740/4838/355/11009/943",19
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","11/252","74/5972",0.148648648648649,3.52273702273702,4.58312020672366,0.000239185586857437,0.00236500832937811,0.00177820175141211,"7157/1147/581/7046/1021/5925/25/613/7040/1869/861",11
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","15/252","126/5972",0.119047619047619,2.82123960695389,4.33659380517081,0.000242564956859293,0.00236500832937811,0.00177820175141211,"142/1649/7157/1508/356/5551/1147/581/330/2353/4170/1616/596/841/355",15
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","10/252","65/5972",0.153846153846154,3.64590964590965,4.50167351030049,0.000344637250364778,0.00324434377067532,0.00243935621855287,"489/3674/8515/1636/3675/7040/3690/3685/183/3678",10
