"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","8/277","58/5972",0.137931034482759,2.97373334993153,3.331028680302,0.00492523524016712,0.0156448648805308,0.00921003741504935,"207/5295/2260/4609/3091/6510/5594/3417",8
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","9/277","71/5972",0.126760563380282,2.73290283215539,3.23934448025519,0.00518604959361817,0.016281783607871,0.00958498762100789,"7124/5743/7040/3553/5970/3725/5594/3586/7042",9
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","14/277","141/5972",0.099290780141844,2.14066620580178,3.02282612197382,0.00552454364247905,0.0171451354421764,0.0100932376287276,"5743/1846/1385/3091/405/7057/23411/836/1788/7040/840/5594/3586/811",14
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","16/277","174/5972",0.0919540229885057,1.98248889995435,2.90054579725545,0.00656770654119373,0.0201431621408523,0.0118581578295076,"207/7422/5295/2260/3643/285/11186/5155/2321/5599/10125/5970/9846/3480/5594/2247",16
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","10/277","87/5972",0.114942528735632,2.47811112494294,3.06273932155027,0.00663978307605872,0.0201431621408523,0.0118581578295076,"5933/7124/6667/4609/7057/4756/7040/1387/5594/7042",10
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","13/277","130/5972",0.1,2.15595667870036,2.93865778548077,0.00696251672976434,0.020887550189293,0.0122963745753733,"595/896/1499/54361/4609/6477/23411/8321/1387/56998/5599/8313/3725",13
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","11/277","103/5972",0.106796116504854,2.30247800637903,2.94051576450276,0.00783527388395608,0.0232475159194301,0.0136856721397035,"207/596/7124/836/7040/5599/5970/5594/3586/7042/841",11
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","10/277","90/5972",0.111111111111111,2.39550742077818,2.9417614384322,0.00840701529492468,0.0246727622785833,0.0145247060587371,"207/596/5295/8202/4318/6667/1385/3725/5594/3858",10
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","7/277","51/5972",0.137254901960784,2.95915622566716,3.09865469196902,0.00859288116979326,0.0249470743639159,0.0146861919257361,"1647/1499/54361/1643/8321/8313/581",7
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","11/277","105/5972",0.104761904761905,2.258621282448,2.86944716456662,0.00902095286341558,0.0259112475864064,0.0152537948754284,"207/596/7161/5295/2309/4217/5599/5970/3725/5594/581",11
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","6/277","40/5972",0.15,3.23393501805054,3.12619825522738,0.0095715179376175,0.0269198941995492,0.01584757904145,"6118/472/5888/672/5424/11073",6
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/277","40/5972",0.15,3.23393501805054,3.12619825522738,0.0095715179376175,0.0269198941995492,0.01584757904145,"7124/7057/7040/3553/3586/7042",6
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","9/277","79/5972",0.113924050632911,2.45615317826623,2.87322041449355,0.0103887104590787,0.0289170291128995,0.0170232802964827,"207/5295/6667/3091/5155/5599/3725/5594/5130",9
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/277","53/5972",0.132075471698113,2.84748995300048,2.97928744206232,0.0105767117017115,0.0291399199945113,0.0171544948115836,"7124/664/836/840/3553/5970/841",7
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","8/277","66/5972",0.121212121212121,2.6132808226671,2.90637583326842,0.0107313743760739,0.0292673846620198,0.0172295324910916,"972/7124/4800/3811/3309/1385/6892/811",8
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","10/277","94/5972",0.106382978723404,2.29357093478762,2.78776358409046,0.0113011202691158,0.0305130247266128,0.0179628332698578,"5328/596/1647/472/7124/5743/8792/3553/5970/7186",10
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","10/277","96/5972",0.104166666666667,2.24578820697954,2.71366038225628,0.0130046383873005,0.034764874896744,0.0204658717715725,"3091/196/3570/7040/3553/51561/5599/5970/3725/5594",10
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","12/277","127/5972",0.094488188976378,2.03712442081924,2.60529567920255,0.0143309248503709,0.0379348010745112,0.0223319881569247,"596/7124/5610/7098/3553/5599/8743/8330/581/637/7186/841",12
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","12/277","129/5972",0.0930232558139535,2.00554109646545,2.54620456725376,0.016067657274975,0.0421191015945947,0.0247952605878511,"207/7124/5295/3661/3553/5599/4210/5970/3725/5594/3586/7186",12
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","9/277","85/5972",0.105882352941176,2.28277765980038,2.62682045056568,0.016342366456462,0.0424272975311993,0.0249766936733376,"596/6667/1958/2260/1385/4323/4324/1594/5594",9
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","4/277","22/5972",0.181818181818182,3.91992123400066,3.02580230797917,0.0171015800680732,0.0439754916036167,0.025888106168211,"6118/5111/5424/5983",4
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","10/277","101/5972",0.099009900990099,2.13461057297065,2.53610966353461,0.018104230332392,0.0461145489598665,0.0271473563077577,"207/7422/5295/4318/1385/7040/5599/5970/3725/5594",10
