,V1,V2,V3
64,SFPQ,SRF,1
65,SFPQ,TCF12,1
66,SOX11,SRF,-1
67,SOX11,TCF12,-1
68,SRF,TCF12,1
69,SRSF2,ARNT,-0.540827214127196
70,SRSF2,FOXO1,-0.540827214127196
71,SRSF2,GTF3A,0.540827214127196
72,SRSF2,HIF1A,0.540827214127196
73,SRSF2,LHX8,-0.540827214127196
74,SRSF2,MECP2,0.540827214127196
75,SRSF2,NEUROG2,-0.540827214127196
76,SRSF2,PARK7,0.540827214127196
77,SRSF2,SOX6,-0.540827214127196
78,SRSF2,TBPL2,0.540827214127196
79,SRSF2,DOT1L,-0.524886901383006
80,SRSF2,HDAC1,0.524886901383006
81,SRSF2,NEUROG1,-0.524886901383006
82,SRSF2,SP1,-0.524886901383006
83,SRSF2,STAT1,-0.524886901383006
84,AHR,ATF2,1
85,AHR,ATF3,0.704210814863265
86,AHR,CEBPA,1
87,AHR,CEBPD,1
88,AHR,CREB3,1
89,AHR,ELF4,-1
90,AHR,GFI1B,1
91,AHR,HLX,-1
92,AHR,HOXA1,1
93,AHR,HOXB13,-0.644650751961341
94,AHR,IRF4,0.678518043315209
95,AHR,MAFA,0.710120786203973
96,AHR,MEF2A,-1
97,AHR,MNT,0.714150275618142
98,AHR,MYBL1,0.735112581056322
99,AHR,POU2AF1,0.720863514889739
100,AHR,POU2F2,1
101,AHR,POU4F1,1
102,AHR,SPDEF,0.646342732491934
103,AHR,TOX3,0.765652698619441
104,AHR,VDR,-1
105,ATF2,ATF3,0.704210814863265
106,ATF2,CEBPA,1
107,ATF2,CEBPD,1
108,ATF2,CREB3,1
109,ATF2,ELF4,-1
110,ATF2,GFI1B,1
111,ATF2,HLX,-1
112,ATF2,HOXA1,1
113,ATF2,HOXB13,-0.644650751961341
114,ATF2,IRF4,0.678518043315209
115,ATF2,MAFA,0.710120786203973
116,ATF2,MEF2A,-1
117,ATF2,MNT,0.714150275618142
118,ATF2,MYBL1,0.735112581056322
119,ATF2,POU2AF1,0.720863514889739
120,ATF2,POU2F2,1
121,ATF2,POU4F1,1
122,ATF2,SPDEF,0.646342732491934
123,ATF2,TOX3,0.765652698619441
124,ATF2,VDR,-1
125,ATF3,CEBPA,0.704210814863264
126,ATF3,CEBPD,0.704210814863265
127,ATF3,CREB3,0.704210814863265
128,ATF3,ELF4,-0.704210814863265
129,ATF3,GFI1B,0.704210814863265
130,ATF3,HLX,-0.704210814863265
131,ATF3,HOXA1,0.704210814863265
132,ATF3,MAFA,0.522797025153702
133,ATF3,MEF2A,-0.704210814863265
134,ATF3,POU2F2,0.704210814863265
135,ATF3,POU4F1,0.704210814863265
136,ATF3,TOX3,0.518421608993961
137,ATF3,VDR,-0.704210814863265
138,ATF3,ASCL2,0.678701687421901
139,ATF3,ATF5,0.678701687421901
140,ATF3,E2F7,0.678701687421901
141,ATF3,GATA1,-0.678701687421901
142,ATF3,NFKB,0.678701687421901
143,ATF3,ZBTB33,-0.678701687421901
144,ATF3,ZNF384,0.678701687421901
145,CEBPA,CEBPD,1
146,CEBPA,CREB3,1
147,CEBPA,ELF4,-1
148,CEBPA,GFI1B,1
149,CEBPA,HLX,-1
150,CEBPA,HOXA1,1
151,CEBPA,HOXB13,-0.644650751961341
152,CEBPA,IRF4,0.678518043315209
153,CEBPA,MAFA,0.710120786203973
154,CEBPA,MEF2A,-1
155,CEBPA,MNT,0.714150275618142
156,CEBPA,MYBL1,0.735112581056322
157,CEBPA,POU2AF1,0.720863514889739
158,CEBPA,POU2F2,1
159,CEBPA,POU4F1,1
160,CEBPA,SPDEF,0.646342732491934
161,CEBPA,TOX3,0.765652698619441
162,CEBPA,VDR,-1
163,CEBPD,CREB3,1
164,CEBPD,ELF4,-1
165,CEBPD,GFI1B,1
166,CEBPD,HLX,-1
167,CEBPD,HOXA1,1
168,CEBPD,HOXB13,-0.644650751961341
169,CEBPD,IRF4,0.678518043315209
170,CEBPD,MAFA,0.710120786203973
171,CEBPD,MEF2A,-1
172,CEBPD,MNT,0.714150275618142
173,CEBPD,MYBL1,0.735112581056322
174,CEBPD,POU2AF1,0.720863514889739
175,CEBPD,POU2F2,1
176,CEBPD,POU4F1,1
177,CEBPD,SPDEF,0.646342732491934
178,CEBPD,TOX3,0.765652698619441
179,CEBPD,VDR,-1
180,CREB3,ELF4,-1
181,CREB3,GFI1B,1
182,CREB3,HLX,-1
183,CREB3,HOXA1,1
184,CREB3,HOXB13,-0.644650751961341
185,CREB3,IRF4,0.678518043315209
186,CREB3,MAFA,0.710120786203973
187,CREB3,MEF2A,-1
188,CREB3,MNT,0.714150275618142
189,CREB3,MYBL1,0.735112581056322
190,CREB3,POU2AF1,0.720863514889739
191,CREB3,POU2F2,1
192,CREB3,POU4F1,1
193,CREB3,SPDEF,0.646342732491934
194,CREB3,TOX3,0.765652698619441
195,CREB3,VDR,-1
196,ELF4,GFI1B,-1
197,ELF4,HLX,1
198,ELF4,HOXA1,-1
199,ELF4,HOXB13,0.644650751961341
200,ELF4,IRF4,-0.678518043315209
201,ELF4,MAFA,-0.710120786203973
202,ELF4,MEF2A,1
203,ELF4,MNT,-0.714150275618142
204,ELF4,MYBL1,-0.735112581056322
205,ELF4,POU2AF1,-0.720863514889739
206,ELF4,POU2F2,-1
207,ELF4,POU4F1,-1
208,ELF4,SPDEF,-0.646342732491934
209,ELF4,TOX3,-0.765652698619441
210,ELF4,VDR,1
211,GFI1B,HLX,-1
212,GFI1B,HOXA1,1
213,GFI1B,HOXB13,-0.644650751961341
214,GFI1B,IRF4,0.678518043315209
215,GFI1B,MAFA,0.710120786203973
216,GFI1B,MEF2A,-1
217,GFI1B,MNT,0.714150275618142
218,GFI1B,MYBL1,0.735112581056322
219,GFI1B,POU2AF1,0.720863514889739
220,GFI1B,POU2F2,1
221,GFI1B,POU4F1,1
222,GFI1B,SPDEF,0.646342732491934
223,GFI1B,TOX3,0.765652698619441
224,GFI1B,VDR,-1
225,HLX,HOXA1,-1
226,HLX,HOXB13,0.644650751961341
227,HLX,IRF4,-0.678518043315209
228,HLX,MAFA,-0.710120786203973
229,HLX,MEF2A,1
230,HLX,MNT,-0.714150275618142
231,HLX,MYBL1,-0.735112581056322
232,HLX,POU2AF1,-0.720863514889739
233,HLX,POU2F2,-1
234,HLX,POU4F1,-1
235,HLX,SPDEF,-0.646342732491934
236,HLX,TOX3,-0.765652698619441
237,HLX,VDR,1
238,HOXA1,HOXB13,-0.644650751961341
239,HOXA1,IRF4,0.678518043315209
240,HOXA1,MAFA,0.710120786203973
241,HOXA1,MEF2A,-1
242,HOXA1,MNT,0.714150275618142
243,HOXA1,MYBL1,0.735112581056322
244,HOXA1,POU2AF1,0.720863514889739
245,HOXA1,POU2F2,1
246,HOXA1,POU4F1,1
247,HOXA1,SPDEF,0.646342732491934
248,HOXA1,TOX3,0.765652698619441
249,HOXA1,VDR,-1
250,HOXB13,IRF4,-0.99897969332197
251,HOXB13,MEF2A,0.644650751961341
252,HOXB13,MNT,-0.995505763697735
253,HOXB13,POU2F2,-0.644650751961341
254,HOXB13,POU4F1,-0.644650751961341
255,HOXB13,VDR,0.644650751961341
256,HOXB13,AHRR,-0.735726008596209
257,HOXB13,EBF1,-0.735726008596209
258,HOXB13,HOXA10,-0.735726008596209
259,HOXB13,NFKB2,-0.570710447885678
260,HOXB13,NR3C1,0.50518560728626
261,HOXB13,PAX5,-0.735726008596209
262,HOXB13,PITX3,-0.735726008596209
263,HOXB13,TBX21,-0.735726008596209
264,HOXB13,TEAD4,0.735726008596209
265,HOXB13,TGFB1I1,-0.735726008596209
266,HOXB13,ZBTB32,0.735726008596209
267,IRF4,MAFA,0.505339112925159
268,IRF4,MEF2A,-0.678518043315209
269,IRF4,MNT,0.998766892341972
270,IRF4,POU2F2,0.678518043315209
271,IRF4,POU4F1,0.678518043315209
272,IRF4,VDR,-0.678518043315209
273,IRF4,AHRR,0.704388309317923
274,IRF4,EBF1,0.704388309317923
275,IRF4,HOXA10,0.704388309317923
276,IRF4,NFKB2,0.548253496921622
277,IRF4,PAX5,0.704388309317923
278,IRF4,PITX3,0.704388309317923
279,IRF4,TBX21,0.704388309317923
280,IRF4,TEAD4,-0.704388309317923
281,IRF4,TGFB1I1,0.704388309317923
282,IRF4,ZBTB32,-0.704388309317923
283,MAFA,MEF2A,-0.710120786203973
284,MAFA,MNT,0.529535253951797
285,MAFA,MYBL1,0.543715427036281
286,MAFA,POU2AF1,0.534081147750548
287,MAFA,POU2F2,0.710120786203973
288,MAFA,POU4F1,0.710120786203974
289,MAFA,TOX3,0.564292365610068
290,MAFA,VDR,-0.710120786203973
291,MAFA,ZNF804A,0.521041869676144
292,MAFA,ERF,-0.734288894092121
293,MEF2A,MNT,-0.714150275618142
294,MEF2A,MYBL1,-0.735112581056322
295,MEF2A,POU2AF1,-0.720863514889739
296,MEF2A,POU2F2,-1
297,MEF2A,POU4F1,-1
298,MEF2A,SPDEF,-0.646342732491934
299,MEF2A,TOX3,-0.765652698619441
300,MEF2A,VDR,1
301,MNT,MYBL1,0.503410107128717
302,MNT,POU2F2,0.714150275618142
303,MNT,POU4F1,0.714150275618142
304,MNT,TOX3,0.526324128886913
305,MNT,VDR,-0.714150275618142
306,MNT,AHRR,0.668280473488571
307,MNT,EBF1,0.668280473488571
308,MNT,HOXA10,0.668280473488571
309,MNT,NFKB2,0.522275826767356
310,MNT,PAX5,0.668280473488571
311,MNT,PITX3,0.668280473488571
312,MNT,TBX21,0.668280473488571
313,MNT,TEAD4,-0.668280473488571
314,MNT,TGFB1I1,0.668280473488571
315,MNT,ZBTB32,-0.668280473488571
316,MYBL1,POU2AF1,0.508558195638185
317,MYBL1,POU2F2,0.735112581056322
318,MYBL1,POU4F1,0.735112581056322
319,MYBL1,TOX3,0.998931922453806
320,MYBL1,VDR,-0.735112581056322
321,MYBL1,CREBZF,-0.645342552233257
322,MYBL1,HOXD13,-0.645342552233257
323,MYBL1,NOTCH1,-0.645342552233257
324,POU2AF1,POU2F2,0.720863514889739
325,POU2AF1,POU4F1,0.72086351488974
326,POU2AF1,TOX3,0.531666335958847
327,POU2AF1,VDR,-0.720863514889739
328,POU2AF1,BATF,-0.661079762767188
329,POU2AF1,CTCFL,-0.661079762767188
330,POU2AF1,ETV6,0.661079762767188
331,POU2AF1,FOXI1,-0.661079762767188
332,POU2AF1,HOXD1,0.661079762767188
333,POU2AF1,IKZF1,0.661079762767188
334,POU2AF1,POU2F1,0.661079762767188
335,POU2AF1,PRDM1,-0.661079762767188
336,POU2AF1,PTF1A,0.661079762767188
337,POU2AF1,RREB1,-0.661079762767188
338,POU2AF1,ZBTB4,0.661079762767188
339,POU2F2,POU4F1,1
340,POU2F2,SPDEF,0.646342732491934
341,POU2F2,TOX3,0.765652698619441
342,POU2F2,VDR,-1
343,POU4F1,SPDEF,0.646342732491934
344,POU4F1,TOX3,0.765652698619441
345,POU4F1,VDR,-1
346,SPDEF,VDR,-0.646342732491934
347,SPDEF,EGR4,-0.734223812239402
348,SPDEF,ETV2,-0.537568895021671
349,SPDEF,JDP2,-0.734223812239402
350,SPDEF,MAFB,-0.734223812239402
351,SPDEF,MAX,0.559726775599277
352,SPDEF,RUNX1,-0.734223812239402
353,TOX3,VDR,-0.765652698619441
354,TOX3,CREBZF,-0.609356657803525
355,TOX3,HOXD13,-0.609356657803525
356,TOX3,NOTCH1,-0.609356657803525
357,CREBZF,HOXD13,1
358,CREBZF,MLXIPL,0.713094305401418
359,CREBZF,NOTCH1,1
360,CREBZF,SIRT1,-0.648975376188395
361,HOXD13,MLXIPL,0.713094305401418
362,HOXD13,NOTCH1,1
363,HOXD13,SIRT1,-0.648975376188395
364,MLXIPL,NOTCH1,0.713094305401418
365,MLXIPL,SIRT1,-0.996159870600679
366,MLXIPL,ARID3A,0.512928337071205
367,MLXIPL,ARNT,-0.731409273450462
368,MLXIPL,FOXO1,-0.731409273450462
369,MLXIPL,GTF3A,0.731409273450462
370,MLXIPL,HCFC1,0.538701661228839
371,MLXIPL,HIF1A,0.731409273450462
372,MLXIPL,LHX8,-0.731409273450462
373,MLXIPL,MECP2,0.731409273450462
374,MLXIPL,MITF,-0.520519944269299
375,MLXIPL,NEUROG2,-0.731409273450462
376,MLXIPL,PARK7,0.731409273450462
377,MLXIPL,SOX6,-0.731409273450462
378,MLXIPL,TBPL2,0.731409273450462
379,MLXIPL,TFDP1,0.51764347982807
380,MLXIPL,TP53,-0.529523056802086
381,MLXIPL,ZHX2,-0.525856502777942
382,NOTCH1,SIRT1,-0.648975376188395
383,SIRT1,ARID3A,-0.556546823672652
384,SIRT1,ARNT,0.788306290830375
385,SIRT1,E2F3,-0.532454857234747
386,SIRT1,FOXO1,0.788306290830375
387,SIRT1,GTF3A,-0.788306290830375
388,SIRT1,HCFC1,-0.584119261399707
389,SIRT1,HIF1A,-0.788306290830375
390,SIRT1,LHX8,0.788306290830375
391,SIRT1,MECP2,-0.788306290830375
392,SIRT1,MITF,0.557025314877418
393,SIRT1,NEUROG2,0.788306290830375
394,SIRT1,PARK7,-0.788306290830375
395,SIRT1,SOX6,0.788306290830375
396,SIRT1,TBPL2,-0.788306290830375
397,SIRT1,TFDP1,-0.561592580635457
398,SIRT1,TP53,0.566794762493559
399,SIRT1,ZHX2,0.562815821652993
400,SIRT1,ZNF804A,-0.536987375682233
401,TWIST2,ZFPM2,-1
402,BHLHE40,ENO1,-0.708540329219972
403,BHLHE40,AHRR,-0.674196918989832
404,BHLHE40,EBF1,-0.674196918989832
405,BHLHE40,HOXA10,-0.674196918989832
406,BHLHE40,NFKB2,-0.526539297855552
407,BHLHE40,PAX5,-0.674196918989832
408,BHLHE40,PITX3,-0.674196918989832
409,BHLHE40,TBX21,-0.674196918989832
410,BHLHE40,TEAD4,0.674196918989832
411,BHLHE40,TGFB1I1,-0.674196918989832
412,BHLHE40,ZBTB32,0.674196918989832
413,ARID1B,BATF,0.683081435015081
414,ARID1B,CTCFL,0.68308143501508
415,ARID1B,ETV6,-0.683081435015081
416,ARID1B,FOXI1,0.683081435015081
417,ARID1B,HOXD1,-0.68308143501508
418,ARID1B,IKZF1,-0.683081435015081
419,ARID1B,POU2F1,-0.683081435015081
420,ARID1B,PRDM1,0.683081435015081
421,ARID1B,PTF1A,-0.683081435015081
422,ARID1B,RREB1,0.68308143501508
423,ARID1B,ZBTB4,-0.68308143501508
424,ARID1B,AHRR,-0.69995239253716
425,ARID1B,EBF1,-0.69995239253716
426,ARID1B,HOXA10,-0.69995239253716
427,ARID1B,NFKB2,-0.54506770467888
428,ARID1B,PAX5,-0.69995239253716
429,ARID1B,PITX3,-0.69995239253716
430,ARID1B,TBX21,-0.69995239253716
431,ARID1B,TEAD4,0.69995239253716
432,ARID1B,TGFB1I1,-0.69995239253716
433,ARID1B,ZBTB32,0.69995239253716
434,BATF,BHLHE41,0.631566962113972
435,BATF,CTCFL,1
436,BATF,ETV6,-1
437,BATF,FOXI1,1
438,BATF,HDAC7,-0.553706303870582
439,BATF,HOXD1,-1
440,BATF,IKZF1,-1
441,BATF,KLF1,-0.666013486245153
442,BATF,MBD1,0.551830845671041
443,BATF,POU2F1,-1
444,BATF,PRDM1,1
445,BATF,PTF1A,-1
446,BATF,RREB1,1
447,BATF,ZBTB4,-1
448,BHLHE41,CTCFL,0.631566962113972
449,BHLHE41,ETV6,-0.631566962113973
450,BHLHE41,FOXI1,0.631566962113972
451,BHLHE41,HOXD1,-0.631566962113972
452,BHLHE41,IKZF1,-0.631566962113972
453,BHLHE41,POU2F1,-0.631566962113972
454,BHLHE41,PRDM1,0.631566962113972
455,BHLHE41,PTF1A,-0.631566962113972
456,BHLHE41,RREB1,0.631566962113972
457,BHLHE41,ZBTB4,-0.631566962113973
458,BHLHE41,FHL2,0.535203962485303
459,BHLHE41,FOXH1,0.535203962485303
460,BHLHE41,HEY2,0.535203962485303
461,BHLHE41,KLF3,0.535203962485303
462,BHLHE41,MEIS2,-0.535203962485303
463,BHLHE41,MXI1,0.535203962485303
464,BHLHE41,NUPR1,-0.535203962485303
465,BHLHE41,RELB,-0.535203962485303
466,BHLHE41,SALL3,-0.535203962485303
467,BHLHE41,SMAD2,0.535203962485303
468,BHLHE41,TBX1,0.535203962485303
469,CTCFL,ETV6,-1
470,CTCFL,FOXI1,1
471,CTCFL,HDAC7,-0.553706303870582
472,CTCFL,HOXD1,-1
473,CTCFL,IKZF1,-1
474,CTCFL,KLF1,-0.666013486245153
475,CTCFL,MBD1,0.551830845671041
476,CTCFL,POU2F1,-1
477,CTCFL,PRDM1,1
478,CTCFL,PTF1A,-1
479,CTCFL,RREB1,1
480,CTCFL,ZBTB4,-1
481,ETV6,FOXI1,-1
482,ETV6,HDAC7,0.553706303870582
483,ETV6,HOXD1,1
484,ETV6,IKZF1,1
485,ETV6,KLF1,0.666013486245153
486,ETV6,MBD1,-0.551830845671041
487,ETV6,POU2F1,1
488,ETV6,PRDM1,-1
489,ETV6,PTF1A,1
490,ETV6,RREB1,-1
491,ETV6,ZBTB4,1
492,FOXI1,HDAC7,-0.553706303870582
493,FOXI1,HOXD1,-1
494,FOXI1,IKZF1,-1
495,FOXI1,KLF1,-0.666013486245153
496,FOXI1,MBD1,0.551830845671041
497,FOXI1,POU2F1,-1
498,FOXI1,PRDM1,1
499,FOXI1,PTF1A,-1
500,FOXI1,RREB1,1
501,FOXI1,ZBTB4,-1
502,HDAC7,HOXD1,0.553706303870582
503,HDAC7,IKZF1,0.553706303870582
504,HDAC7,POU2F1,0.553706303870582
505,HDAC7,PRDM1,-0.553706303870582
506,HDAC7,PTF1A,0.553706303870582
507,HDAC7,RREB1,-0.553706303870582
508,HDAC7,ZBTB4,0.553706303870582
509,HDAC7,ASCL2,-0.589917176191183
510,HDAC7,ATF5,-0.589917176191183
511,HDAC7,E2F7,-0.589917176191183
512,HDAC7,GATA1,0.589917176191183
513,HDAC7,NFKB,-0.589917176191183
514,HDAC7,ZBTB33,0.589917176191183
515,HDAC7,ZNF384,-0.589917176191183
516,HDAC7,ARNT,-0.610868254498313
517,HDAC7,FOXO1,-0.610868254498313
518,HDAC7,GTF3A,0.610868254498313
519,HDAC7,HIF1A,0.610868254498313
520,HDAC7,LHX8,-0.610868254498313
521,HDAC7,MECP2,0.610868254498313
522,HDAC7,NEUROG2,-0.610868254498312
523,HDAC7,PARK7,0.610868254498313
524,HDAC7,SOX6,-0.610868254498313
525,HDAC7,TBPL2,0.610868254498313
526,HOXD1,IKZF1,1
527,HOXD1,KLF1,0.666013486245153
528,HOXD1,MBD1,-0.551830845671041
529,HOXD1,POU2F1,1
530,HOXD1,PRDM1,-1
531,HOXD1,PTF1A,1
532,HOXD1,RREB1,-1
533,HOXD1,ZBTB4,1
534,IKZF1,KLF1,0.666013486245153
535,IKZF1,MBD1,-0.551830845671041
536,IKZF1,POU2F1,1
537,IKZF1,PRDM1,-1
538,IKZF1,PTF1A,1
539,IKZF1,RREB1,-1
540,IKZF1,ZBTB4,1
541,KLF1,POU2F1,0.666013486245153
542,KLF1,PRDM1,-0.666013486245153
543,KLF1,PTF1A,0.666013486245153
544,KLF1,RREB1,-0.666013486245153
545,KLF1,ZBTB4,0.666013486245153
546,KLF1,NFIA,-0.556575948729107
547,KLF1,MAX,0.529933309078498
548,KLF1,TP53,0.554779368175506
549,KLF1,NR3C1,0.537411923826573
550,KLF1,EWSR1,-0.506437629085601
551,KLF1,FHL2,0.774191427678183
552,KLF1,FOXH1,0.774191427678183
553,KLF1,FOXO4,0.55770567529701
554,KLF1,HEY2,0.774191427678183
555,KLF1,KLF3,0.774191427678183
556,KLF1,MEIS2,-0.774191427678183
557,KLF1,MXI1,0.774191427678183
558,KLF1,NUPR1,-0.774191427678183
559,KLF1,RELB,-0.774191427678183
560,KLF1,SALL3,-0.774191427678183
561,KLF1,SMAD2,0.774191427678184
562,KLF1,TBX1,0.774191427678183
563,MBD1,POU2F1,-0.551830845671041
564,MBD1,PRDM1,0.551830845671041
565,MBD1,PTF1A,-0.551830845671041
566,MBD1,RREB1,0.551830845671041
567,MBD1,ZBTB4,-0.551830845671041
568,MBD1,EGR4,0.545165719976628
569,MBD1,FOXF2,0.792645503905147
570,MBD1,JDP2,0.545165719976628
571,MBD1,MAFB,0.545165719976628
572,MBD1,RUNX1,0.545165719976628
573,MBD1,FOXC1,-0.55797023825467
574,MBD1,MYOD1,0.55797023825467
575,MBD1,RUNX3,0.557970238254671
576,MBD1,ZGPAT,0.557970238254671
577,POU2F1,PRDM1,-1
578,POU2F1,PTF1A,1
579,POU2F1,RREB1,-1
580,POU2F1,ZBTB4,1
581,PRDM1,PTF1A,-1
582,PRDM1,RREB1,1
583,PRDM1,ZBTB4,-1
584,PTF1A,RREB1,-1
585,PTF1A,ZBTB4,1
586,RREB1,ZBTB4,-1
587,ASCL2,ATF5,1
588,ASCL2,E2F7,1
589,ASCL2,GATA1,-1
590,ASCL2,HDGF,0.645430514962076
591,ASCL2,NFIA,0.691039235697347
592,ASCL2,NFKB,1
593,ASCL2,ZBTB33,-1
594,ASCL2,ZNF384,1
595,ATF5,E2F7,1
596,ATF5,GATA1,-1
597,ATF5,HDGF,0.645430514962076
598,ATF5,NFIA,0.691039235697347
599,ATF5,NFKB,1
600,ATF5,ZBTB33,-1
601,ATF5,ZNF384,1
602,E2F7,GATA1,-1
603,E2F7,HDGF,0.645430514962076
604,E2F7,NFIA,0.691039235697347
605,E2F7,NFKB,1
606,E2F7,ZBTB33,-1
607,E2F7,ZNF384,1
608,GATA1,HDGF,-0.645430514962076
609,GATA1,NFIA,-0.691039235697347
610,GATA1,NFKB,-1
611,GATA1,ZBTB33,1
612,GATA1,ZNF384,-1
613,HDGF,HSF4,0.657078909993398
614,HDGF,NFKB,0.645430514962076
615,HDGF,ZBTB33,-0.645430514962076
616,HDGF,ZNF384,0.645430514962076
617,HDGF,HTATIP2,-0.735034506644495
618,HDGF,KLF15,0.735034506644495
619,HDGF,KLF6,0.735034506644495
620,HDGF,MLXIP,0.735034506644495
621,HDGF,TBXT,0.735034506644495
622,HDGF,ZNF202,-0.735034506644495
623,HDGF,ZNF354C,-0.735034506644495
624,HSF4,ARNT,-0.559908830446209
625,HSF4,FOXO1,-0.559908830446209
626,HSF4,GTF3A,0.559908830446209
627,HSF4,HIF1A,0.559908830446209
628,HSF4,LHX8,-0.559908830446209
629,HSF4,MECP2,0.559908830446209
630,HSF4,NEUROG2,-0.559908830446209
631,HSF4,PARK7,0.559908830446209
632,HSF4,SOX6,-0.559908830446209
633,HSF4,TBPL2,0.559908830446209
634,HSF4,CREB1,-0.521532779325653
635,HSF4,DBP,-0.521532779325653
636,HSF4,NCOA2,-0.521532779325653
637,HSF4,RB1,-0.521532779325653
638,HSF4,RBPJ,-0.521532779325653
639,NFIA,NFKB,0.691039235697347
640,NFIA,ZBTB33,-0.691039235697347
641,NFIA,ZNF384,0.691039235697347
642,NFIA,MAX,-0.514912175333885
643,NFIA,FHL2,-0.692088549056188
644,NFIA,FOXH1,-0.692088549056188
645,NFIA,HEY2,-0.692088549056188
646,NFIA,KLF3,-0.692088549056188
647,NFIA,MEIS2,0.692088549056188
648,NFIA,MXI1,-0.692088549056188
649,NFIA,NUPR1,0.692088549056188
650,NFIA,RELB,0.692088549056188
651,NFIA,SALL3,0.692088549056188
652,NFIA,SMAD2,-0.692088549056188
653,NFIA,TBX1,-0.692088549056188
654,NFKB,ZBTB33,-1
655,NFKB,ZNF384,1
656,ZBTB33,ZNF384,-1
657,NAB2,RARA,-0.61162573798958
658,NAB2,TFDP3,0.61162573798958
659,NAB2,ZHX2,-0.509669424469177
660,NAB2,NFKB2,-0.552427178063819
661,NAB2,CREB5,-0.76380668746534
662,NAB2,HOPX,-0.76380668746534
663,NAB2,HOXB7,-0.76380668746534
664,NAB2,NR4A1,0.76380668746534
665,NAB2,SMARCA1,-0.76380668746534
666,RARA,TFDP3,-1
667,E2F5,ARNT,-0.595282362921941
668,E2F5,FOXO1,-0.595282362921941
669,E2F5,GTF3A,0.595282362921941
670,E2F5,HCFC1,0.71948519906052
671,E2F5,HIF1A,0.595282362921941
672,E2F5,LHX8,-0.595282362921941
673,E2F5,MECP2,0.595282362921941
674,E2F5,NEUROG2,-0.595282362921941
675,E2F5,PARK7,0.595282362921941
676,E2F5,SOX6,-0.595282362921941
677,E2F5,STOX1,0.561353290187278
678,E2F5,TBPL2,0.595282362921941
679,EGR4,ETV2,0.75950025363052
680,EGR4,FOXF2,0.597877371348168
681,EGR4,JDP2,1
682,EGR4,MAFB,1
683,EGR4,MAX,-0.733783602470259
684,EGR4,NFE2,0.707271490544326
685,EGR4,RUNX1,1
686,ETV2,JDP2,0.75950025363052
687,ETV2,MAFB,0.75950025363052
688,ETV2,MAX,-0.577397176526361
689,ETV2,NFE2,0.516269660748045
690,ETV2,RUNX1,0.75950025363052
691,ETV2,HTATIP2,0.616870118963793
692,ETV2,KLF15,-0.616870118963793
693,ETV2,KLF6,-0.616870118963793
694,ETV2,MLXIP,-0.616870118963793
695,ETV2,TBXT,-0.616870118963793
696,ETV2,ZNF202,0.616870118963793
697,ETV2,ZNF354C,0.616870118963793
698,FOXF2,JDP2,0.597877371348168
699,FOXF2,MAFB,0.597877371348168
700,FOXF2,RUNX1,0.597877371348168
701,FOXF2,FOXC1,-0.774834909332715
702,FOXF2,MYOD1,0.774834909332715
703,FOXF2,RUNX3,0.774834909332715
