,V1,V2,V3
172,CEBPA,POU2AF1,0.720863514889739
173,CEBPA,POU2F2,1
174,CEBPA,POU4F1,1
175,CEBPA,SPDEF,0.646342732491934
176,CEBPA,TOX3,0.765652698619441
177,CEBPA,VDR,-1
178,CEBPD,CEBPD,1
179,CEBPD,CREB3,1
180,CEBPD,ELF4,-1
181,CEBPD,GFI1B,1
182,CEBPD,HLX,-1
183,CEBPD,HOXA1,1
184,CEBPD,HOXB13,-0.644650751961341
185,CEBPD,IRF4,0.678518043315209
186,CEBPD,MAFA,0.710120786203973
187,CEBPD,MEF2A,-1
188,CEBPD,MNT,0.714150275618142
189,CEBPD,MYBL1,0.735112581056322
190,CEBPD,POU2AF1,0.720863514889739
191,CEBPD,POU2F2,1
192,CEBPD,POU4F1,1
193,CEBPD,SPDEF,0.646342732491934
194,CEBPD,TOX3,0.765652698619441
195,CEBPD,VDR,-1
196,CREB3,CREB3,1
197,CREB3,ELF4,-1
198,CREB3,GFI1B,1
199,CREB3,HLX,-1
200,CREB3,HOXA1,1
201,CREB3,HOXB13,-0.644650751961341
202,CREB3,IRF4,0.678518043315209
203,CREB3,MAFA,0.710120786203973
204,CREB3,MEF2A,-1
205,CREB3,MNT,0.714150275618142
206,CREB3,MYBL1,0.735112581056322
207,CREB3,POU2AF1,0.720863514889739
208,CREB3,POU2F2,1
209,CREB3,POU4F1,1
210,CREB3,SPDEF,0.646342732491934
211,CREB3,TOX3,0.765652698619441
212,CREB3,VDR,-1
213,ELF4,ELF4,1
214,ELF4,GFI1B,-1
215,ELF4,HLX,1
216,ELF4,HOXA1,-1
217,ELF4,HOXB13,0.644650751961341
218,ELF4,IRF4,-0.678518043315209
219,ELF4,MAFA,-0.710120786203973
220,ELF4,MEF2A,1
221,ELF4,MNT,-0.714150275618142
222,ELF4,MYBL1,-0.735112581056322
223,ELF4,POU2AF1,-0.720863514889739
224,ELF4,POU2F2,-1
225,ELF4,POU4F1,-1
226,ELF4,SPDEF,-0.646342732491934
227,ELF4,TOX3,-0.765652698619441
228,ELF4,VDR,1
229,GFI1B,GFI1B,1
230,GFI1B,HLX,-1
231,GFI1B,HOXA1,1
232,GFI1B,HOXB13,-0.644650751961341
233,GFI1B,IRF4,0.678518043315209
234,GFI1B,MAFA,0.710120786203973
235,GFI1B,MEF2A,-1
236,GFI1B,MNT,0.714150275618142
237,GFI1B,MYBL1,0.735112581056322
238,GFI1B,POU2AF1,0.720863514889739
239,GFI1B,POU2F2,1
240,GFI1B,POU4F1,1
241,GFI1B,SPDEF,0.646342732491934
242,GFI1B,TOX3,0.765652698619441
243,GFI1B,VDR,-1
244,HLX,HLX,1
245,HLX,HOXA1,-1
246,HLX,HOXB13,0.644650751961341
247,HLX,IRF4,-0.678518043315209
248,HLX,MAFA,-0.710120786203973
249,HLX,MEF2A,1
250,HLX,MNT,-0.714150275618142
251,HLX,MYBL1,-0.735112581056322
252,HLX,POU2AF1,-0.720863514889739
253,HLX,POU2F2,-1
254,HLX,POU4F1,-1
255,HLX,SPDEF,-0.646342732491934
256,HLX,TOX3,-0.765652698619441
257,HLX,VDR,1
258,HOXA1,HOXA1,1
259,HOXA1,HOXB13,-0.644650751961341
260,HOXA1,IRF4,0.678518043315209
261,HOXA1,MAFA,0.710120786203973
262,HOXA1,MEF2A,-1
263,HOXA1,MNT,0.714150275618142
264,HOXA1,MYBL1,0.735112581056322
265,HOXA1,POU2AF1,0.720863514889739
266,HOXA1,POU2F2,1
267,HOXA1,POU4F1,1
268,HOXA1,SPDEF,0.646342732491934
269,HOXA1,TOX3,0.765652698619441
270,HOXA1,VDR,-1
271,HOXB13,HOXB13,1
272,HOXB13,IRF4,-0.99897969332197
273,HOXB13,MEF2A,0.644650751961341
274,HOXB13,MNT,-0.995505763697735
275,HOXB13,POU2F2,-0.644650751961341
276,HOXB13,POU4F1,-0.644650751961341
277,HOXB13,VDR,0.644650751961341
278,HOXB13,AHRR,-0.735726008596209
279,HOXB13,EBF1,-0.735726008596209
280,HOXB13,HOXA10,-0.735726008596209
281,HOXB13,NFKB2,-0.570710447885678
282,HOXB13,NR3C1,0.50518560728626
283,HOXB13,PAX5,-0.735726008596209
284,HOXB13,PITX3,-0.735726008596209
285,HOXB13,TBX21,-0.735726008596209
286,HOXB13,TEAD4,0.735726008596209
287,HOXB13,TGFB1I1,-0.735726008596209
288,HOXB13,ZBTB32,0.735726008596209
289,IRF4,IRF4,1
290,IRF4,MAFA,0.505339112925159
291,IRF4,MEF2A,-0.678518043315209
292,IRF4,MNT,0.998766892341972
293,IRF4,POU2F2,0.678518043315209
294,IRF4,POU4F1,0.678518043315209
295,IRF4,VDR,-0.678518043315209
296,IRF4,AHRR,0.704388309317923
297,IRF4,EBF1,0.704388309317923
298,IRF4,HOXA10,0.704388309317923
299,IRF4,NFKB2,0.548253496921622
300,IRF4,PAX5,0.704388309317923
301,IRF4,PITX3,0.704388309317923
302,IRF4,TBX21,0.704388309317923
303,IRF4,TEAD4,-0.704388309317923
304,IRF4,TGFB1I1,0.704388309317923
305,IRF4,ZBTB32,-0.704388309317923
306,MAFA,MAFA,1
307,MAFA,MEF2A,-0.710120786203973
308,MAFA,MNT,0.529535253951797
309,MAFA,MYBL1,0.543715427036281
310,MAFA,POU2AF1,0.534081147750548
311,MAFA,POU2F2,0.710120786203973
312,MAFA,POU4F1,0.710120786203974
313,MAFA,TOX3,0.564292365610068
314,MAFA,VDR,-0.710120786203973
315,MAFA,ZNF804A,0.521041869676144
316,MAFA,ERF,-0.734288894092121
317,MEF2A,MEF2A,1
318,MEF2A,MNT,-0.714150275618142
319,MEF2A,MYBL1,-0.735112581056322
320,MEF2A,POU2AF1,-0.720863514889739
321,MEF2A,POU2F2,-1
322,MEF2A,POU4F1,-1
323,MEF2A,SPDEF,-0.646342732491934
324,MEF2A,TOX3,-0.765652698619441
325,MEF2A,VDR,1
326,MNT,MNT,1
327,MNT,MYBL1,0.503410107128717
328,MNT,POU2F2,0.714150275618142
329,MNT,POU4F1,0.714150275618142
330,MNT,TOX3,0.526324128886913
331,MNT,VDR,-0.714150275618142
332,MNT,AHRR,0.668280473488571
333,MNT,EBF1,0.668280473488571
334,MNT,HOXA10,0.668280473488571
335,MNT,NFKB2,0.522275826767356
336,MNT,PAX5,0.668280473488571
337,MNT,PITX3,0.668280473488571
338,MNT,TBX21,0.668280473488571
339,MNT,TEAD4,-0.668280473488571
340,MNT,TGFB1I1,0.668280473488571
341,MNT,ZBTB32,-0.668280473488571
342,MYBL1,MYBL1,1
343,MYBL1,POU2AF1,0.508558195638185
344,MYBL1,POU2F2,0.735112581056322
345,MYBL1,POU4F1,0.735112581056322
346,MYBL1,TOX3,0.998931922453806
347,MYBL1,VDR,-0.735112581056322
348,MYBL1,CREBZF,-0.645342552233257
349,MYBL1,HOXD13,-0.645342552233257
350,MYBL1,NOTCH1,-0.645342552233257
351,POU2AF1,POU2AF1,1
352,POU2AF1,POU2F2,0.720863514889739
353,POU2AF1,POU4F1,0.72086351488974
354,POU2AF1,TOX3,0.531666335958847
355,POU2AF1,VDR,-0.720863514889739
356,POU2AF1,BATF,-0.661079762767188
357,POU2AF1,CTCFL,-0.661079762767188
358,POU2AF1,ETV6,0.661079762767188
359,POU2AF1,FOXI1,-0.661079762767188
360,POU2AF1,HOXD1,0.661079762767188
361,POU2AF1,IKZF1,0.661079762767188
362,POU2AF1,POU2F1,0.661079762767188
363,POU2AF1,PRDM1,-0.661079762767188
