"","D1_p1_rep1_auto","D4_p1_rep1_auto","D8_p1_rep1_auto","D11_p1_rep1_auto","D14_p1_rep1_auto","D1_p1_rep2_auto","D4_p1_rep2_auto","D8_p1_rep2_auto","D11_p1_rep2_auto","D14_p1_rep2_auto","D1_p2_rep1_auto","D4_p2_rep1_auto","D8_p2_rep1_auto","D11_p2_rep1_auto","D14_p2_rep1_auto","D1_p2_rep2_auto","D4_p2_rep2_auto","D8_p2_rep2_auto","D11_p2_rep2_auto","D14_p2_rep2_auto","D1_p3_rep1_auto","D4_p3_rep1_auto","D8_p3_rep1_auto","D11_p3_rep1_auto","D14_p3_rep1_auto","D1_p3_rep2_auto","D4_p3_rep2_auto","D8_p3_rep2_auto","D11_p3_rep2_auto","D14_p3_rep2_auto"
"BATF",9.35816606549388,8.79790518768269,9.15891438455389,8.83143465480939,8.83139335983626,9.03130289637427,8.60439220737198,8.81185985263038,8.42363267452207,8.16176056723094,8.12030161961569,8.64445844780705,8.09678471349191,8.59222249676525,9.4579392430731,8.6973848623326,8.27013661545733,8.00354987087851,8.34544682439343,8.51181226129463,6.59335964857529,6.95762544312724,7.53045923045707,7.66916906227152,6.61222886066844,6.6926030659177,6.91856366092931,7.04003801608797,7.44776950230054,7.85503762809245
"BCL11A",12.2273151471634,11.7720789593033,12.4181036923027,12.2561114912567,11.8858698646644,11.9566193195311,11.4605939458274,12.0862119056264,12.0269223938089,11.3125474097803,11.0507121198632,11.5229995137905,11.2751434644316,11.2713293154474,12.3492735499617,11.6303002222135,11.3158271770678,11.1249480716535,11.4459850508106,11.3545782423325,10.2234213675231,10.4862910776561,11.1831337897438,11.2807659956383,10.3419608014062,9.96295603867366,10.7143623273477,10.7293553579367,11.2747890982938,10.4301872125905
"BCL6",13.6431606117434,12.8404125563935,13.1334700943506,13.1909613458263,12.9592435899919,13.4219664448307,12.6083670497719,12.9509758646369,12.8959311599866,12.5543202502406,13.0795918551584,13.2096453686286,12.5685140281154,13.0603434938417,14.2888120898605,13.6323112465624,13.0254757159733,12.3540698064313,13.1261870599831,13.0941954200339,12.2260943113261,12.5214173931861,13.0091514208262,13.0287613513708,12.1584141100968,12.200849001348,12.8452130266104,12.5145933706619,13.2541601721705,11.4016819360956
"BHLHE22",8.81246473196426,8.42870525090425,8.62812291298223,8.42579410970882,7.9769659811303,9.03552892148067,8.26565824747002,8.58889882396007,8.1078846347088,7.85510802110391,7.18756709398864,7.1737095359806,6.61662764667279,6.59778844348901,7.60113280577653,7.83197423252953,7.35596051835875,6.15418917852174,6.94788566296919,6.86516099167846,7.86342719490369,7.36812135717305,7.52880329519591,7.89098159313986,7.67248103575256,7.09073371080214,7.6528205923054,7.46648193032458,8.11559174786907,5.7917194149835
"BHLHE40",9.12279768659191,9.00714659374347,9.71432127329986,9.91485602278288,9.51515060082156,9.26978755864214,8.86300726825477,9.2483218946849,9.62786796780838,9.00137381922072,8.38048021736738,8.17738499421506,8.42168696369573,8.52085834030106,9.18677308328115,9.0141802951039,8.17622980579733,8.214914866744,8.58064135917794,8.30131482398948,8.63084581118304,9.31373050278115,9.78619891062254,9.80714063730096,9.08697063768485,8.57603503804165,9.69280297268684,9.33830971154413,10.1961888789797,7.55007833965112
"BMAL1",1.61518319491212,1.07545163789901,1.3357363907379,0.768764829862329,1.0543919510314,1.49174526645321,1.00694451805217,0.929694336294622,0.498782927740806,0.688536355964183,0.216698300838735,0.392450038824023,0.00331019840335928,0.00710287125261248,0.681743337280699,0.466815844686597,0.230647400065043,-0.0500854115971778,-0.018420511730877,-0.00443092629323904,0.188187233549249,-0.0630072426314006,-0.01363191078215,-0.215196836272067,-0.0693240704848128,0.0908510809505654,0.0294080313621585,-0.218393244789521,-0.0135928935221074,-0.759643065236287
"BRF2",1.30883501481767,1.42481879970084,1.5904925592316,1.2090966720479,1.25574142545424,1.51123538028112,1.39008007632949,1.39734180648021,1.1516100520229,1.19347153937903,1.1100648659291,1.13733110878495,1.18784539540728,1.05864402202088,1.05729387444987,1.1288111433655,1.18674771011859,1.27474795100202,1.05607787855267,1.06371153868339,1.17296247450065,1.30686120172138,1.23887806972076,1.10023343336745,1.12377222278754,1.18370686766159,1.10820826046227,1.23402660384435,1.02278880738674,1.44095081470977
"CBX2",-5.13126989284066,-5.10547047089025,-4.99809303753418,-5.39610897828456,-4.81943702094692,-5.1726300300903,-4.67234195998174,-4.79783486935529,-5.32032516230387,-5.16754564997339,-4.40415812652105,-4.67207267040709,-4.62509571684389,-4.69999714301604,-4.82076284951136,-4.56764722467103,-4.84777094822276,-4.54768894182974,-5.08292998623942,-4.9365439620074,-4.62875370073103,-4.5161277949774,-4.42305110105081,-4.26210288263976,-4.5445378115307,-4.38405232884708,-4.72894902053045,-4.60722546938198,-4.55636141182042,-4.61062390122408
"CDX1",-1.06357047593229,-1.1863653333893,-1.61331119696032,-1.67707663088478,-1.79029146714201,-0.952150779218667,-1.37331279092629,-1.6622812530826,-1.80179838825829,-2.02554128026884,-1.03281391747818,-1.03618336920784,-1.15008061816041,-1.40410000345313,-1.74424253104228,-1.02971961564636,-1.44568656096652,-1.66231279860656,-1.62810393462316,-1.32156120110819,-1.23935720306617,-1.68108694778294,-1.81497408576704,-1.77856442766598,-1.93324010445094,-0.815294591850854,-1.84950332453893,-2.02214212333573,-1.98460103029774,-1.87568060776271
"CDX2",-4.19293653107576,-4.34799020666094,-4.60010636898039,-3.9385848255799,-4.41970379990352,-4.74351932257245,-4.51105383548172,-4.41494747728126,-3.88803223432818,-3.92610890061804,-2.40560138703629,-3.18364021971942,-2.91826411054167,-3.15185397035241,-3.67575838550577,-2.99812927836548,-2.86226912764116,-2.80042248332879,-3.2574376787134,-3.40025298670802,-3.02044572988978,-3.40110841769242,-3.69029298648796,-4.29632171758719,-3.44578242629396,-2.68858609276513,-3.45511094445291,-3.57020620913169,-3.79032733247889,-3.55778486215301
"CEBPA",3.12565976601319,2.18517260585001,2.35129906948823,2.14156470068002,2.36332853648389,2.49659602650674,2.00320429573969,2.03875109080241,1.76274226559224,1.58772555046062,2.09938660201692,2.65328214601804,1.73172870069731,2.13036109501086,2.54475555291419,2.58331122660355,2.45063248245267,1.71076437606573,1.8390402174896,2.14877721697013,1.33552643005359,1.3338363031187,1.80614989314797,1.73497722093957,1.18194161847088,1.48878950402353,1.36877984606396,1.27839667615995,1.44156310540948,2.62050561174484
"CEBPB",-5.20231832007416,-5.53434644015869,-6.28103738967756,-5.79047064178456,-5.96724189284906,-5.75043092764745,-5.74525863233246,-6.04905354909079,-5.62161306353052,-5.23944364105543,-3.64307918789517,-4.52704022186078,-4.67628260792769,-5.07297576025659,-5.46870248820845,-4.1421200057081,-4.52130281733155,-4.71534497794567,-4.75269506553219,-5.12769388995755,-4.29218731716126,-4.88002055330282,-5.50191813264001,-5.9662540021059,-5.0803907791402,-3.71075126951557,-4.6767536780414,-5.30958399602612,-5.59828237553468,-5.70609584567289
"CEBPD",7.2760478410103,7.52308498669332,7.95666866625566,8.4138750448928,7.88727559935332,7.18399138864223,7.61307896093878,7.74483988103779,8.32876897485365,7.75374282286689,7.27078524074371,6.86431060762686,7.52522199186017,7.15974122348744,7.58400870817681,7.81429018683568,6.77494213500657,7.37852774648398,7.5248120434355,7.07762923385064,7.32446531334762,7.9343235681377,8.2768166415464,8.31938564056078,7.8162093401914,7.41444817383462,7.98843725502393,7.96715418779655,8.60888847341402,6.69726872096868
"CEBPE",1.38377665601064,-1.29934731835091,-1.1718268310951,1.1756103992728,1.07578537026409,-1.75891963240611,-1.34565476824655,-1.10792019770468,1.30258338535926,-1.42400731255963,1.82038680832673,-1.32837461007075,-1.62803731230992,1.31179114939525,1.46783980937751,1.45141607284077,1.40887764558276,-1.7988748832733,-1.3343159284267,1.47605716512435,-1.98024758361912,-1.69762373403641,-1.85353612292102,-1.8132094203006,-1.78003971911848,-1.59065237407876,-1.59121383860848,-1.81966305552764,-1.77898436445601,-1.73282588119582
"CEBPG",3.50146351497889,3.16375888612116,3.12322353819814,3.21379982992215,3.23912992903586,3.16306203799593,2.8749385182692,3.14587494232313,2.80829660978323,2.40145158238527,2.12296149776113,2.82125514927392,2.37852914397792,2.72551733017627,3.00626828020826,2.6659664701414,2.61659969652314,2.39161364936653,2.30126574317028,2.28289105945164,1.50104531771968,1.85557835402898,2.53258531338449,2.44381856637714,1.64365826515702,1.47751588703971,1.80499718049761,1.98282244626794,2.22727470103163,3.03997927826006
"CEBPZ",2.03232592697988,2.04478023007373,2.04348149890084,2.05848424496053,2.03268725991052,2.07277002260302,2.04275666447883,2.02730403807929,2.04553678235183,2.07579493791586,2.08600890123396,2.02354055782989,2.07170616727918,1.98835272634843,1.95085128776954,2.07951948513081,2.02913000067571,2.06881763566565,2.03807367099177,1.96084570668807,2.1689793519316,2.10805567798827,2.05079731573396,2.00700873791692,2.08156564824922,2.14583546141399,2.14699603190859,2.11100217750225,2.07115482523781,1.79098719411351
"CLOCK",-4.35767200570573,-3.99000812645527,-4.20728662984166,-4.27806565656052,-4.46676004214661,-4.57317326449919,-3.89966477167704,-4.21747419003796,-4.39295467831579,-4.15999749871815,-3.40394498122034,-3.79258130478365,-3.73149913648555,-3.44049736947448,-4.52896437756154,-3.77481217091047,-3.25270522905264,-3.47252285697839,-3.70937167774772,-3.62894925603699,-3.53986579097278,-3.66369231598008,-4.36013421759139,-4.49227896359464,-4.01224989474548,-3.24912596332277,-4.02846670716466,-3.97149831217704,-4.35316051656216,-4.83474265145964
"CREB1",7.26711601055369,7.07295945962363,7.8071590121838,8.2554761863361,7.8785139923177,7.10465519657675,7.04314137825013,7.50311446551289,7.8443044433323,7.33126751410222,6.5804003942927,6.67295174327505,6.73598592411633,7.03035239381212,7.37895905607156,7.06189068338296,6.48566027917171,6.52927994691365,6.75829010896179,6.75508272043478,6.28029618364972,6.74930089084726,7.2623038747403,7.18812614964062,6.41928265498486,6.11985998408234,6.73442118755663,6.81651806186463,7.23702935662088,6.15286600594855
