"","D1_p1_rep1_auto","D4_p1_rep1_auto","D8_p1_rep1_auto","D11_p1_rep1_auto","D14_p1_rep1_auto","D1_p1_rep2_auto","D4_p1_rep2_auto","D8_p1_rep2_auto","D11_p1_rep2_auto","D14_p1_rep2_auto","D1_p2_rep1_auto","D4_p2_rep1_auto","D8_p2_rep1_auto","D11_p2_rep1_auto","D14_p2_rep1_auto","D1_p2_rep2_auto","D4_p2_rep2_auto","D8_p2_rep2_auto","D11_p2_rep2_auto","D14_p2_rep2_auto","D1_p3_rep1_auto","D4_p3_rep1_auto","D8_p3_rep1_auto","D11_p3_rep1_auto","D14_p3_rep1_auto","D1_p3_rep2_auto","D4_p3_rep2_auto","D8_p3_rep2_auto","D11_p3_rep2_auto","D14_p3_rep2_auto","D1_p1_rep1_B","D4_p1_rep1_B","D8_p1_rep1_B","D11_p1_rep1_B","D14_p1_rep1_B","D1_p1_rep2_B","D4_p1_rep2_B","D8_p1_rep2_B","D11_p1_rep2_B","D14_p1_rep2_B","D1_p2_rep1_B","D4_p2_rep1_B","D8_p2_rep1_B","D11_p2_rep1_B","D14_p2_rep1_B","D1_p2_rep2_B","D4_p2_rep2_B","D8_p2_rep2_B","D11_p2_rep2_B","D14_p2_rep2_B","D1_p3_rep1_B","D4_p3_rep1_B","D8_p3_rep1_B","D11_p3_rep1_B","D14_p3_rep1_B","D1_p3_rep2_B","D4_p3_rep2_B","D8_p3_rep2_B","D11_p3_rep2_B","D14_p3_rep2_B"
"{COL9A2} / {ITGB1}",-0.312464344996297,0.0339632753146278,0.142558449567346,0.124138027502825,0.179292386889507,-0.129505932749225,-0.0317080681164307,0.257484274057291,0.212097249124268,0.181477719210054,-0.588518841211677,-0.707488813108855,-0.50079637394616,-0.522737468352923,-0.697160117375181,-0.620932894884726,-0.610142814114793,-0.474815411976525,-0.433126268804659,-0.705602548977573,0.703069336394511,0.704575163059511,0.750189337107948,0.995450937921637,1.02776824251717,0.749085108320709,0.674518124197217,0.785956189569698,0.846505781542159,0.667883534016861,-0.188054267875408,-0.0108359294133578,0.28106151188497,0.127708726402565,-0.161216652917841,-0.199424404509553,-0.0162214969168841,0.259342300652072,0.143312002391835,-0.181439061230825,-0.77345332619934,-0.637014272959282,-0.807410931049359,-1.32736697996338,-1.31532054525155,-0.74570191703011,-0.790097953851804,-0.868383196764812,-1.05905540654877,-1.5447208962207,0.477181327989433,0.521242125815257,0.839957906494731,0.943083950263149,0.769327544916612,0.513358506453041,0.484040247201841,0.923681718816632,0.83105532034813,0.81035081137439
"{CXCL10} / {SDC4}",0.106700617530395,0.982414129569607,0.542336026854653,0.378355131903272,-0.0623729519163702,-0.0914576438815843,0.667114115395146,0.0831953631759725,0.735793619351543,0.166917248175306,0.67405278442234,0.812126034936376,1.23917843463429,1.04650107903629,0.488991223347285,0.462462167684692,0.0623419056924467,1.60620708751139,0.776568967958624,0.605474661122024,-0.0502297050847463,0.162634213361547,-0.107833795028718,-0.215075896646107,-0.366955469796446,0.0681125451837452,0.247373648464122,-0.0436677301869963,-0.139174878363415,-0.461552891919887,-0.764772929110396,-0.651532214646334,-0.446594783432081,-0.225756136383648,-0.380852990678375,-0.684365078178662,-0.570503821506337,-0.186039948261047,-0.260344022338512,-0.351518969272032,-0.286819946048812,-0.26820523092585,-0.233057244023225,-0.625202534418817,-0.62700844430542,-0.127425317397757,-0.466014908516987,-0.267761017707597,-0.370594185276602,-0.576270683313631,-0.483561991347075,0.097335650850802,-0.137787453625559,-0.0730078859979174,-0.300887801315136,-0.405706744611944,-0.0959584421515841,-0.00516002270902816,-0.215977582153814,-0.385177363683408
"{DLL1} / {NOTCH1}",0.723369745958449,0.201646336156795,0.652395799049459,0.806282973539495,0.076662495321426,-0.00281245734431526,0.0646669855360766,0.286365512570913,0.45560596070698,0.125090000740798,0.0911795494341294,0.650859490184189,0.564137303832138,0.775326367761319,1.66952386301365,0.591174434453668,0.624555807985263,0.784172015529791,0.555259940911159,0.53565431457731,-0.638914866366161,-1.0641356601184,-0.687201468318241,-1.11833434587985,-1.07042080024514,-0.991080343119712,-1.00596121421318,-0.957190282203095,-0.942285613510827,-1.04728741138205,0.574113457872446,0.0457450119523702,0.00350149685131237,0.279484321751298,-0.638029831731762,0.26320192596591,0.0815439551276182,-0.136759540142182,0.138194058544567,-0.679049105983469,0.216748096458566,0.483810468935969,0.313078956168719,1.00848617024897,0.819693570855336,0.0872972885392384,0.515305127260062,0.875570110344976,1.17367242377273,0.93612947416166,-0.761725682242153,-0.717351258531072,-0.575437102149507,-0.672215740309782,-1.07831064456069,-0.78313105097,-0.718011005311158,-0.508641979059238,-0.481531908678423,-0.773685499704345
"{DLL1} / {NOTCH2}",0.86944527153409,0.157832852908862,0.563273170676232,0.692355066606976,0.102266274460331,0.0792253888445844,0.0238319866229601,0.106446081334106,0.515189414624683,0.132691150548017,0.551543674020559,0.609298607481353,0.337284598478391,0.774504158461755,1.33514564282467,0.98047534522657,0.643999922303226,0.692999691300694,0.402987450898617,0.471277838865141,-0.732272374567574,-1.08224772353661,-0.734546682691255,-1.17476629887894,-1.10973262341657,-1.05455127712977,-1.00634170300887,-1.05729657155587,-0.971420072532666,-0.929262639218821,0.668650836420063,0.174231406537189,0.0977943904411983,0.314351064716408,-0.500779880937026,0.337892199633864,0.2033439818709,-0.00103051193065335,0.241493991721886,-0.456616773213078,0.772602396694457,0.485390710474776,0.303665414034962,0.870726266287353,0.694586641379735,0.664066039747433,0.718236265556801,0.730253991514072,1.02467726110793,0.902394118119208,-0.866979706610094,-0.853895212756458,-0.836904895624006,-0.838930331832366,-1.09882288508235,-0.87360177262896,-0.868891388305435,-0.759534941979732,-0.650134041745023,-0.787870255097932
"{EFNB1} / {EPHB6}",-0.179641986121707,-0.44959280440087,-0.532037238931957,-0.119733240779828,-0.0898762105028289,-0.306382323710415,-0.52733458261416,-0.530352893479172,-0.352052185307989,-0.236241970831888,1.71452121609736,0.763773746314514,0.831245408235456,0.727283360093135,0.724987157397187,1.2820247383464,1.01838640647941,0.998551045136619,0.763790543127456,0.543539698319506,-0.284666330976445,-0.57497923828154,-0.726123805190723,-0.713975311086237,-0.489453342112728,-0.361472647602237,-0.433725063587801,-0.853746931274821,-0.498875212216415,-0.794885902638683,-0.0454990230216823,-0.371132163881177,-0.566841697215686,-0.382402151727741,0.0944608729909021,-0.0280382084861119,-0.329221874679453,-0.107952948307592,-0.279818587459421,-0.244299387569848,1.17529711709308,0.826012296038801,0.906965241802381,0.432542440302966,0.310179723536327,1.35623312380311,0.79755542583536,0.856845602360244,0.699251459987671,0.337723384553379,-0.493583697589562,-0.634733205910612,-0.644559070481588,-0.629141880701358,-0.661008259492294,-0.535027662869405,-0.512221128638316,-0.657411686376123,-0.469579248966017,-0.513548902828831
"{EFNB2} / {EPHB6}",0.0797264766604103,-0.273041596702101,-0.239320732626888,-0.233682833433208,-0.135073967075737,0.0249660986368187,-0.291972083240758,-0.387712238167825,-0.212509813511046,-0.208973530898378,0.953878497233896,0.68138751337266,0.891888241836245,0.738449685107615,0.595163481329215,0.865905741763551,0.718862099915271,1.02561731134506,0.872764200950152,0.653397836824954,-0.427354594252827,-0.610132631759565,-0.791864951661178,-0.781779546877731,-0.485146381353853,-0.533607322969433,-0.61528238104348,-0.890691263395413,-0.902789731559259,-0.669618433943765,0.221666842006668,-0.132571569704114,-0.361884503130299,-0.33138129475414,-0.286610256875582,0.211933908026067,-0.28242298694999,-0.0446575364945495,-0.201779177216809,-0.159768726753771,0.70840572797713,0.7245785224834,1.39449127865082,0.844139236397533,0.501317383038797,0.666473115997155,0.845585155573562,1.3526115506589,0.90691926275581,0.694502486804811,-0.514280985014267,-0.502391644090108,-0.799248980152238,-0.857050857690784,-0.71621606254003,-0.541840766331235,-0.632752493445628,-0.738700769727437,-0.604845743526416,-0.775673266476659
"{EFNB2} / {PECAM1}",-0.245145082616154,-0.652202635272225,-0.375290404903417,-0.220801972874892,-0.0744377514505682,-0.192562022251541,-0.665245564324375,-0.616301885755299,-0.0294052484346446,-0.142370152888994,1.16233528589155,0.86073399217903,0.528556410521579,0.649314967415644,0.603513374747395,1.09214879649077,1.03371795353673,0.574622463336824,0.829666405898048,0.787496394117793,-0.205419560391917,-0.46272453356432,-0.509644322605471,-0.551917430682818,-0.177921820563024,-0.212654918318917,-0.322394616197784,-0.590993176654858,-0.469455286766308,-0.658328885356919,-0.108715864002596,-0.644161875160601,-0.738913199567535,-0.314268168275256,-0.247240917656995,-0.0923959512400639,-0.772244875661904,-0.318986615656498,-0.23639469965164,-0.109392193635077,1.03438953043724,1.15679592798494,1.03123258846526,0.466755163085604,0.155208534909191,1.00113011813349,1.10888561728953,0.932970320576677,0.536272692020681,0.049948354003133,-0.409588962271545,-0.466713793335994,-0.701768189047943,-0.419758930429359,-0.356324013087341,-0.402917158736816,-0.596234104632208,-0.477050672344704,-0.311486544727768,-0.495920890044828
"{FBN1} / {ITGA5}",-0.738924379442142,-0.792500164142214,-0.593681458721452,-0.432052878474477,-0.303488707813188,-0.581621330035981,-0.821356783216517,-0.763261545020038,-0.158831451131641,-0.267038892953064,-0.167942457491898,-0.441556059828278,-0.338339162256856,-0.329118116406116,-0.611617220266884,-0.206541327126866,-0.436665763580928,-0.370657798742425,-0.236900093896062,-0.439419768966728,1.54193054008145,1.10670368063332,0.971250170430872,0.859646725843185,1.00597017063828,1.45451952032387,1.40293092732511,1.36834112633206,0.764932373790642,0.335984322910877,-0.898515316988718,-0.916725309643742,-0.746542318690521,-0.376390813180149,-0.68040213532323,-0.932821371651886,-0.838367098499533,-0.241933079454907,-0.391779778114863,-0.691467176433403,-0.481245757537839,-0.383132862158673,-0.601715035628044,-0.752226645289563,-0.887542228738184,-0.243533849621388,-0.617897110899447,-0.748113211206649,-0.652090045608642,-0.746789318622215,1.09641726265522,1.31546758153731,1.19033228801993,1.10396217607467,0.764234615657009,1.21200945509486,1.21944625001647,1.40056224567028,0.918412975253177,0.827691414516753
"{FBN1} / {ITGAV}",-0.832889812001986,-0.949131227038713,-0.716597212625243,-0.518593520464181,-0.505843946577838,-0.751298032018537,-0.969487136437249,-0.980647200384648,-0.214601758390566,-0.492539638833685,0.140503313224098,-0.136682934007529,-0.253120353936761,-0.00155153102015053,-0.148505964208233,0.173615141349078,-0.326788201892571,-0.305091827076177,0.104239828882376,-0.0689657335761026,0.771163092887663,0.69961164421231,0.862267239180092,0.947691660151674,0.724162057805217,0.785643740254012,0.84369566952631,0.905069340686706,0.558934010920352,0.883532707295254,-0.914700196866091,-1.05036123604565,-0.940135873881673,-0.453682880852051,-0.72818655943976,-0.974594012184683,-0.949241073529473,-0.530971556905698,-0.523761393785226,-0.656219987184185,-0.0414390767964883,-0.278616806862383,-0.157904421494746,-0.163083178458492,-0.306376359303649,0.190989491758143,-0.347333500065536,-0.203738477075047,0.0709612201537377,-0.525169743732733,0.645071743817249,0.994522624555976,1.04800819423734,0.964221999331494,0.74828583892608,0.701578710530632,0.928332233362508,1.07948749093888,1.05419214274217,1.09207122822437
"{FBN1} / {ITGB1}",-0.312577838325923,-0.542669778718964,-0.344205271423491,-0.124153564427871,0.0453559018952261,-0.202407383182576,-0.616331422128492,-0.547265403395559,0.109428462951043,0.0160274914981495,-0.485050684348253,-0.374162995280621,-0.562734501424304,-0.468679275137501,-0.688678490814938,-0.472932216929435,-0.478914113605248,-0.542277717763469,-0.457977024032276,-0.676042973719773,1.17512984026496,0.869170248629333,0.83840446437115,0.783214663560232,0.826307856585502,1.21942263046621,1.04441105514748,1.00806262097487,0.552000503423461,0.824772644609654,-0.451741712655092,-0.569324654267931,-0.474328395846055,-0.120669799484816,-0.315574226133498,-0.431139348572051,-0.494940883692491,0.0339638103258458,-0.120709058533346,-0.278248257766405,-0.696624637749891,-0.449215580604407,-0.717531361411495,-1.01776188286344,-1.2103648199016,-0.463616471325277,-0.626466076857586,-0.792620035490218,-0.829438161413402,-1.35748963884761,0.978250728054643,1.15265757645897,0.985032563746439,0.978448015902198,0.713357140483425,1.08987956048257,1.09211543839764,1.19227523437742,0.880623534692926,0.906553670775941
"{FGF11} / {FGFR1}",-0.558907072276458,-0.372330746822918,-0.292647526183904,-0.344910131006793,-0.135075313334517,-0.686304541774798,-0.579391473930828,-0.351018820969638,0.0872664416808868,-0.531776927791292,0.491462078717749,0.38469099435241,0.28633944878402,1.01407701373139,0.931558727505015,0.672033539373906,0.403308648097213,0.495127699337473,0.843190992294368,0.477835783089981,-0.491455840321136,-0.193053560050672,-0.0242971858398195,-0.148934232418079,-0.362608417290701,-0.361058996124853,-0.460037928995833,-0.0896533407404716,0.110217156141801,-0.469945432906627,-0.66862015103734,-0.799137683571142,-0.458423213904731,-0.183077158865916,-0.42177407493355,-0.537177713590313,-0.589940157904078,-0.45526353989176,-0.25722302603777,-0.545164676405425,0.698443439628278,0.395844584526337,0.701593771629633,1.56490210829354,0.922684764973913,0.958613592822729,0.557023099500421,0.600394718805948,0.76341944379098,1.66120201114165,-0.70296731345849,-0.410461000620433,-0.209544804561692,-0.162908014134531,-0.204466218249704,-0.564158119564583,-0.47841024570553,-0.325053037313804,-0.352753193445418,-0.241299226244094
"{FGF2} / {FGFR1}",-0.546301024928194,-0.713327386339326,-0.574539601692518,-0.411121418158429,-0.375696540632897,-0.688411999105897,-0.707134645191957,-0.685885335775655,-0.343997995524344,-0.443841561120814,0.784993419451708,0.87691702509333,0.890534079247858,1.18178941573832,1.32978553780502,0.878051172219786,0.850680500863481,1.07886819414927,1.09780185749578,1.14016513882141,-0.541904086727929,-0.523236376603825,-0.401373343406873,-0.436105279834035,-0.392328952168792,-0.501487888872303,-0.45594967502362,-0.52979670749998,-0.371976085254782,-0.307100644485168,-0.632249632836317,-0.702509240156837,-0.623317182462759,-0.382531163340354,-0.421352392905964,-0.625182843069122,-0.668824995337559,-0.384000507737608,-0.34356021775483,-0.401404344576111,0.959883461287201,0.446846271244329,1.11952537667172,1.091037132963,0.797844890873809,1.00466056641995,0.71794604923815,1.03923098684615,0.982471679145644,0.4794051049366,-0.436685677081398,-0.344894420804505,-0.436005892976148,-0.261986812803701,-0.371740163392901,-0.497973478463897,-0.409585553451074,-0.322226167497295,-0.261643330746133,-0.269247294770666
"{FGF2} / {SDC3}",-0.717516365276474,-0.683589767836226,-0.629496964403399,-0.438656526140871,-0.426617974496357,-0.662838705564156,-0.67705511909856,-0.664834438610893,-0.262519350085621,-0.460023010216374,0.0162387789766035,0.0446180580636666,0.350225755858491,0.209999629076738,0.160961937054842,-0.0592744310927063,0.0598958127980253,0.444644597047051,0.150871782702022,0.216694506719685,0.60029540237535,0.561601855882928,0.636469272372717,0.580793162219193,0.652793383341585,0.619298348881535,0.671296805681862,0.545664106919628,0.697796801787693,0.225337392282513,-0.779550787674192,-0.774703246807354,-0.636464358690102,-0.476658067671994,-0.547969144398068,-0.739150836614199,-0.759630306586558,-0.3492821089674,-0.441686367608003,-0.552950990944614,-0.0596273974870441,-0.244229815058647,0.165248037952317,-0.343182425311881,-0.302270007208317,-0.0120053640319323,-0.230162588248085,0.0309941612365656,-0.161571775063032,-0.475356992682299,0.587157411471601,0.619521918513782,0.600887168271725,0.70558098016448,0.550870792535046,0.518258551199224,0.571006535525255,0.6934214139512,0.614921443018308,0.465509429993727
