	D1_p1_rep1_auto	D4_p1_rep1_auto	D8_p1_rep1_auto	D11_p1_rep1_auto	D14_p1_rep1_auto	D1_p1_rep2_auto	D4_p1_rep2_auto	D8_p1_rep2_auto	D11_p1_rep2_auto	D14_p1_rep2_auto	D1_p2_rep1_auto	D4_p2_rep1_auto	D8_p2_rep1_auto	D11_p2_rep1_auto	D14_p2_rep1_auto	D1_p2_rep2_auto	D4_p2_rep2_auto	D8_p2_rep2_auto	D11_p2_rep2_auto	D14_p2_rep2_auto	D1_p3_rep1_auto	D4_p3_rep1_auto	D8_p3_rep1_auto	D11_p3_rep1_auto	D14_p3_rep1_auto	D1_p3_rep2_auto	D4_p3_rep2_auto	D8_p3_rep2_auto	D11_p3_rep2_auto	D14_p3_rep2_auto
ENPP4	9.32999488973185	8.94618363992719	9.20911193526674	9.37492789527701	9.23241612987863	9.23808687581297	9.12772959598781	9.06419676700626	9.35046246617447	9.13366333467469	8.70476165314154	9.14537296277095	8.67092840252734	8.88181837824022	9.04998116448009	8.70700345959651	9.00638710575939	8.96768525334295	8.78808928691552	9.05023230040761	8.75750041337631	8.6968537175767	9.06782250753572	9.13829062074888	8.99056430369188	9.04349662372554	8.75133289450268	8.9163637054188	9.21033792671483	9.56727177679584
SEMA3F	0	0	0.79944043800333	0	0	1.39592647539635	0	0	0	0	1.53638927444103	1.17388141771385	1.81455202091967	0	2.56037239998022	0.880111912475059	2.37098476117603	1.07078158922565	2.36033937230764	3.04703118820738	0	0	1.02578191412873	0	1.04563972644989	0	0	0	0	0.820539922288001
ANKIB1	10.3872997185631	10.2015296466556	10.2584766493266	10.1459660574154	10.2661749211425	10.3138043752989	10.2306373246507	10.3128060739382	10.0874870678623	10.0902911558129	9.88514128361652	9.87167922561188	10.0216329009949	10.026165742088	9.98727829414229	9.96025306742706	9.75099013720106	10.1096645323642	9.97014451437562	9.75139946815477	9.9538691466189	10.1497328419322	10.2209925761134	10.2583700039886	10.0410764976401	10.0509265077577	10.2024824116205	10.1064740564338	10.1306981943132	10.5286599473637
CYP51A1	10.7466471152416	10.8766104361506	10.7321826881443	10.71815212191	10.629797143009	10.8201544156242	10.9214995585807	10.6875570247995	10.8048352795973	10.3839190537816	9.43639121796046	8.72905056272498	11.1804561153867	10.5283551368012	9.57734731671686	9.23354878321288	8.60393606864098	11.0352722884819	10.3297486204359	9.63977230797444	11.1165057167965	10.8831446269365	10.4540861016073	9.97833175893108	9.90676681830859	11.2301361831956	10.8052947412934	10.4947718670548	9.99938747728227	9.87682066499659
KRIT1	9.78648109424981	9.91578667193225	9.80525073922868	9.25113416880252	9.20233103905861	9.75642109791707	9.91679440221154	9.88292983801317	8.95100856346812	8.93396752928622	9.25978503117981	9.58358880821844	9.17997350195647	9.16287197976738	9.42375441573275	9.30622027954536	9.52450423493133	9.23604378254947	9.12012490943659	9.32539338847855	9.37648714517584	9.28857107540567	9.24578232432342	9.38317683005575	9.26714883677373	9.38008438791475	9.33120534589882	9.33406389302274	9.23512821781396	9.7490765863873
RAD52	7.9577711614446	7.88150429038801	7.53423332844551	6.97487729567179	7.27976475078241	7.93135605584844	7.87206021174725	7.63750956536903	6.66212717907324	7.21826998267496	7.46607688251619	7.62178739413824	7.17490293871505	7.19093421523761	7.55743629825127	7.60851116615011	7.49534713067728	7.21409100743367	7.2537379871664	7.36163336293148	6.90944727782064	6.57112263381959	6.77855780316839	6.85931961645947	6.94710941873039	6.78964693455284	6.87124146859666	6.87702724319856	7.00345979014957	7.3041796839615
BAD	8.74237995270133	8.6733273484049	8.60904592617715	9.07456518916344	9.09589646022296	8.83612988637736	8.60856462546249	8.77938398700473	9.25545591145158	9.33931105901899	9.09155106423778	8.83205684852695	9.13222881580695	9.11148718718472	8.70098162514751	8.86878406520533	8.82579868821073	9.06871945313002	9.12012490943659	9.03032477361221	9.13486951343688	9.11473623748587	8.98174559739837	8.86348758016689	9.28694804316254	9.18608570441044	9.04131214437497	9.18910263989551	9.16719146302894	8.87129155411565
LAP3	9.20891167340564	9.323331753774	9.40303098503586	9.4822066416254	9.47820043224214	9.2085517057104	9.38262504210796	9.33763197666221	9.61469975031945	9.57374170383756	9.5096938578349	9.56217271375557	10.3526884890253	10.7804289815718	9.75551874463813	9.43443193255982	9.13776942299592	10.0329315686895	9.92585729145626	9.70401442860786	9.64231267513592	9.61555369417877	9.69670690486954	9.211467911245	9.32814026789315	9.70018197892196	9.52919767258377	9.66166337600128	9.38221362141532	9.24909207093049
CD99	11.0017985430653	11.1392822938435	11.2791050749572	11.8407111998154	11.8827285768198	11.2012337079952	11.2383121764072	11.2536676981213	12.0250445720202	11.9642830255035	11.2955933102517	11.1891946312027	11.3673391665083	11.5215120232711	11.3650489414415	11.1588423100346	11.1544547530682	11.4550477968631	11.6111960338825	11.52265613054	12.0347933906904	12.3756232583919	12.4236947296263	12.3827526610918	12.5234494923946	12.1958649383843	12.347392214916	12.3873016513917	12.4302858271298	11.8585093823327
HS3ST1	9.20233517076508	9.17707580852166	8.94656495941697	9.07456518916344	9.06279091022185	9.28789105898654	9.18324604206432	8.91154624149254	8.91957176966604	9.09870785052916	9.58303108189544	8.67243219445512	8.73199577216209	8.6301748822724	8.47136549746905	9.37540604589144	8.69390913698786	8.93885657009012	8.81482927887081	8.7631590028603	7.69149824024536	7.60846972458841	7.37272537424329	7.216118478873	7.49875807555472	7.94917524410514	7.88688814167219	7.99882654548694	7.81259128430268	7.3657826127106
WNT16	8.80014112281838	8.86903890618286	8.76450543231233	8.3052338595111	9.21180019884137	8.76215991014374	8.79962025638136	8.65289304451844	8.25781448615809	9.24335258854336	6.74735878560706	8.0892366115208	7.39586833936532	7.36622377349347	7.48038003701407	6.65852070196396	7.87457998513997	7.48617141986419	7.20065541108355	7.43413239458886	8.56047858656308	8.77780033859387	9.02542591851793	8.89673693447538	9.2215814301265	8.81812833638504	8.73538449135481	8.67558833754405	8.95078695102669	9.5047500199084
MAD1L1	10.6819384758872	10.5634110695005	10.517967508206	10.9158104023782	11.003035467433	10.7535431085078	10.6304107721635	10.5091893259761	11.1409850486614	11.0024859681278	10.1697489862511	10.1536761710687	10.408534985115	10.2867911587311	10.3365127595709	10.278966489841	10.2631376201007	10.345155074426	10.543345752855	10.4140677905337	11.1565653536025	11.446567705253	11.2501486298542	11.1748264689198	11.5291598860947	11.2436288379134	11.5375376145718	11.1644477212104	11.4064676620541	10.5987533493969
LASP1	12.4458095817198	12.2862902040306	12.5275786919612	12.701671261655	12.8662901131606	12.3833739060147	12.305125210027	12.5440136618574	12.8638731121705	12.7874171448642	12.6226223321368	12.4071246142775	12.8691625169536	12.7691249163373	12.4219152255615	12.5974239061078	12.4360927285106	12.7705451915794	12.6116010199141	12.441813391342	13.035121301418	12.9228542053367	12.9098625054481	12.7518970786765	12.7580866144549	13.1663250932331	13.009823689688	12.9043457019656	12.8517513617428	12.2342270959719
SNX11	9.20233517076508	9.54618929547808	9.79806926994787	9.8922360674347	9.77885230170233	9.26511795690355	9.65551319603525	9.74975922918948	9.88916019732106	9.89630925621201	9.08399176293144	8.97576638477629	9.68468730311401	9.42052781413592	9.01625734758944	8.99535434605304	9.07496937010499	9.68110738119248	9.24335338591706	9.01352271881991	9.87899876657326	9.42586486222337	9.60563323896301	9.56169932953888	9.72276525109194	9.99123654955603	9.56798554913943	9.72925157976481	9.59251438656663	9.73617577508769
TMEM176A	3.07065443580684	4.77052529618182	5.00440656479583	4.79393679073548	4.81528349539501	3.81276512096214	4.23891827969184	4.39389518001661	5.37630777660175	4.57642478092911	4.88313903133887	4.70728051559414	5.49365752142437	4.93047138504759	4.67202904605815	4.96618358813823	5.48593816585665	4.88824875081881	5.14802276609306	3.83989295062321	4.51141921791228	4.24499278696865	2.36296086142051	3.10458000033506	3.66756252625649	5.65657197279334	3.81027769483833	3.6352487159804	2.61667765928704	2.27212296704945
M6PR	11.3567227723428	11.3886519853288	11.2670190604894	11.3177046962725	11.5400734745507	11.3659159434105	11.3730670783982	11.3062474409057	11.4111645997176	11.5401130853606	11.6117224910523	11.5541263851652	11.5179809635939	11.5893669049268	11.3843444542031	11.4701036303629	11.5796973300213	11.585804949481	11.5118748919677	11.5647845814775	11.7155106176987	11.8426729505481	11.7692009735628	11.732212471455	11.7928920556177	11.8610662149143	11.8374738864538	11.8055470747805	11.885805563491	11.7064171752164
ICA1	2.67422128629365	2.70120486592204	1.98612102888964	3.46307244500265	2.28664049496769	2.9119407451034	2.90736056994967	1.63583886206901	1.64777501166064	2.67320468151504	3.73924276932425	3.88927562351263	3.89202874463445	3.9219410190749	4.08069582906544	3.47069522312563	3.51505042790826	3.58564888808038	4.34314150378622	3.83989295062321	1.96629402656938	2.6163166603175	2.36296086142051	2.41783526568397	2.66024582914331	2.40581821506403	1.12723655239146	2.47774404291279	2.61667765928704	2.66958642300768
DBNDD1	8.07039635344142	7.94731951714534	8.0149590760206	8.59437315332137	8.56836870724728	8.26936925045505	8.10284410886496	8.13066249384451	8.72235077486958	8.39149357067813	4.78709114604915	5.36449267087717	4.777882087422	4.87354760870464	5.2380031937287	4.34567423952881	5.14676778435119	4.71771120118808	5.14802276609306	4.85047571713678	10.7838364291503	11.1876981190969	11.1842310200307	11.1125099277787	11.3775573270395	10.9542544332389	11.2788473538053	11.0694639081879	11.386689159102	10.2406165633009
ALS2	8.54079805700643	8.35012123665024	8.40673504559004	8.24292660232656	8.21234548919267	8.31812298595374	8.39178423914505	8.28972810692079	7.8937171641781	8.1048643579587	8.06633147195986	7.94959941433653	8.12507338513761	8.04488505450481	7.97758453126503	8.12086491781284	7.73319677557282	8.07435203191466	7.65000373469978	7.89679494064353	7.98019689401762	7.72968975395569	7.71619969053494	8.11282557055346	7.70414500038446	8.06950442831305	7.73476016042476	7.89184948798864	8.03782896267956	8.088457805604
CASP10	6.48894111866382	5.88488979539729	5.98175632536638	5.32181918329462	5.49897589240001	6.59166645648772	5.93422404968831	5.32164371544016	5.55060061151918	5.27236339213199	5.83465936592775	5.64359573119442	5.57209603016314	5.78841571647345	5.45492414915569	5.53567898465357	5.51913666155147	4.88824875081881	5.20304052589219	5.55496514868537	4.14721509769041	3.8762584136832	4.37052625383896	3.91809803448914	3.54136802111672	4.55898032489492	4.62573716023593	3.76215832395002	4.49570235491267	3.64281732644063
CFLAR	12.5071268505608	12.4800246816105	12.8748162642425	12.5664316871275	12.5955086909093	12.3097121270084	12.4293766594364	12.8524909109792	12.4316625499844	12.4477328111617	11.3021236870122	11.2975618220525	11.7928565672225	11.8016355112016	11.6915492153362	11.4572230664536	11.1304864976987	11.6548922476277	11.6691302318571	11.3223420813781	11.4068815424939	11.4066729432589	11.5084741870177	11.5900467775967	11.3342077194089	11.3732079896454	11.3726939466631	11.4607445086577	11.5081126001813	11.6254775662329
